Year,DateTime,Round,Stadium,City,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation
1930,"13 Jul 1930 - 15:00 ",Group 1,Pocitos,"Montevideo ",France,4,1,Mexico," "
1930,"13 Jul 1930 - 15:00 ",Group 4,Parque Central,"Montevideo ",USA,3,0,Belgium," "
1930,"14 Jul 1930 - 12:45 ",Group 2,Parque Central,"Montevideo ",Yugoslavia,2,1,Brazil," "
1930,"14 Jul 1930 - 14:50 ",Group 3,Pocitos,"Montevideo ",Romania,3,1,Peru," "
1930,"15 Jul 1930 - 16:00 ",Group 1,Parque Central,"Montevideo ",Argentina,1,0,France," "
1930,"16 Jul 1930 - 14:45 ",Group 1,Parque Central,"Montevideo ",Chile,3,0,Mexico," "
1930,"17 Jul 1930 - 12:45 ",Group 2,Parque Central,"Montevideo ",Yugoslavia,4,0,Bolivia," "
1930,"17 Jul 1930 - 14:45 ",Group 4,Parque Central,"Montevideo ",USA,3,0,Paraguay," "
1930,"18 Jul 1930 - 14:30 ",Group 3,Estadio Centenario,"Montevideo ",Uruguay,1,0,Peru," "
1930,"19 Jul 1930 - 12:50 ",Group 1,Estadio Centenario,"Montevideo ",Chile,1,0,France," "
1930,"19 Jul 1930 - 15:00 ",Group 1,Estadio Centenario,"Montevideo ",Argentina,6,3,Mexico," "
1930,"20 Jul 1930 - 13:00 ",Group 2,Estadio Centenario,"Montevideo ",Brazil,4,0,Bolivia," "
1930,"20 Jul 1930 - 15:00 ",Group 4,Estadio Centenario,"Montevideo ",Paraguay,1,0,Belgium," "
1930,"21 Jul 1930 - 14:50 ",Group 3,Estadio Centenario,"Montevideo ",Uruguay,4,0,Romania," "
1930,"22 Jul 1930 - 14:45 ",Group 1,Estadio Centenario,"Montevideo ",Argentina,3,1,Chile," "
1930,"26 Jul 1930 - 14:45 ",Semi-finals,Estadio Centenario,"Montevideo ",Argentina,6,1,USA," "
1930,"27 Jul 1930 - 14:45 ",Semi-finals,Estadio Centenario,"Montevideo ",Uruguay,6,1,Yugoslavia," "
1930,"30 Jul 1930 - 14:15 ",Final,Estadio Centenario,"Montevideo ",Uruguay,4,2,Argentina," "
1934,"27 May 1934 - 16:30 ",Preliminary round,Stadio Benito Mussolini,"Turin ",Austria,3,2,France,"Austria win after extra time "
1934,"27 May 1934 - 16:30 ",Preliminary round,Giorgio Ascarelli,"Naples ",Hungary,4,2,Egypt," "
1934,"27 May 1934 - 16:30 ",Preliminary round,San Siro,"Milan ",Switzerland,3,2,Netherlands," "
1934,"27 May 1934 - 16:30 ",Preliminary round,Littorale,"Bologna ",Sweden,3,2,Argentina," "
1934,"27 May 1934 - 16:30 ",Preliminary round,Giovanni Berta,"Florence ",Germany,5,2,Belgium," "
1934,"27 May 1934 - 16:30 ",Preliminary round,Luigi Ferraris,"Genoa ",Spain,3,1,Brazil," "
1934,"27 May 1934 - 16:30 ",Preliminary round,Nazionale PNF,"Rome ",Italy,7,1,USA," "
1934,"27 May 1934 - 16:30 ",Preliminary round,Littorio,"Trieste ",Czechoslovakia,2,1,Romania," "
1934,"31 May 1934 - 16:30 ",Quarter-finals,Stadio Benito Mussolini,"Turin ",Czechoslovakia,3,2,Switzerland," "
1934,"31 May 1934 - 16:30 ",Quarter-finals,San Siro,"Milan ",Germany,2,1,Sweden," "
1934,"31 May 1934 - 16:30 ",Quarter-finals,Giovanni Berta,"Florence ",Italy,1,1,Spain," "
1934,"31 May 1934 - 16:30 ",Quarter-finals,Littorale,"Bologna ",Austria,2,1,Hungary," "
1934,"01 Jun 1934 - 16:30 ",Quarter-finals,Giovanni Berta,"Florence ",Italy,1,0,Spain," "
1934,"03 Jun 1934 - 16:30 ",Semi-finals,San Siro,"Milan ",Italy,1,0,Austria," "
1934,"03 Jun 1934 - 16:30 ",Semi-finals,Nazionale PNF,"Rome ",Czechoslovakia,3,1,Germany," "
1934,"07 Jun 1934 - 18:00 ",Match for third place,Giorgio Ascarelli,"Naples ",Germany,3,2,Austria," "
1934,"10 Jun 1934 - 17:30 ",Final,Nazionale PNF,"Rome ",Italy,2,1,Czechoslovakia,"Italy win after extra time "
1938,"04 Jun 1938 - 17:00 ",First round,Parc des Princes,"Paris ",Switzerland,1,1,Germany," "
1938,"05 Jun 1938 - 17:00 ",First round,Velodrome Municipale,"Reims ",Hungary,6,0,Dutch East Indies," "
1938,"05 Jun 1938 - 17:00 ",First round,Stade Olympique,"Colombes ",France,3,1,Belgium," "
1938,"05 Jun 1938 - 17:00 ",First round,Stade Municipal,"Toulouse ",Cuba,3,3,Romania," "
1938,"05 Jun 1938 - 17:00 ",First round,Stade V�lodrome,"Marseilles ",Italy,2,1,Norway,"Italy win after extra time "
1938,"05 Jun 1938 - 17:30 ",First round,Stade de la Meinau,"Strasbourg ",Brazil,6,5,Poland,"Brazil win after extra time "
1938,"05 Jun 1938 - 18:30 ",First round,Cavee Verte,"Le Havre ",Czechoslovakia,3,0,Netherlands,"Czechoslovakia win after extra time "
1938,"09 Jun 1938 - 18:00 ",First round,Stade Municipal,"Toulouse ",Cuba,2,1,Romania," "
1938,"09 Jun 1938 - 18:00 ",First round,Parc des Princes,"Paris ",Switzerland,4,2,Germany," "
1938,"12 Jun 1938 - 17:00 ",Quarter-finals,Stade du Parc Lescure,"Bordeaux ",Brazil,1,1,Czechoslovakia," "
1938,"12 Jun 1938 - 17:00 ",Quarter-finals,Victor Boucquey,"Lille ",Hungary,2,0,Switzerland," "
1938,"12 Jun 1938 - 17:00 ",Quarter-finals,Fort Carree,"Antibes ",Sweden,8,0,Cuba," "
1938,"12 Jun 1938 - 17:00 ",Quarter-finals,Stade Olympique,"Colombes ",Italy,3,1,France," "
