id,date,team_1,team_2,home_team,tournament,h2h_win_diff,h2h_draw,form_diff_goalF,form_diff_goalA,form_diff_win,form_diff_draw,odd_win_diff,odd_draw,result,goal_diff,goal_diff_label
26989,2/8/2005,Finland,Latvia,Latvia,Cyprus International Tournament,3,2,-1,-6,3,-2,-0.5656999999999996,3.1929,win,1,win_1
27011,2/9/2005,Japan,North Korea,Japan,FIFA World Cup qualification,0,3,-6,7,3,-1,-7.380000000000001,4.19,win,1,win_1
27025,2/9/2005,Saudi Arabia,Uzbekistan,Uzbekistan,FIFA World Cup qualification,0,0,2,-3,0,0,1.0533000000000001,3.2,draw,0,draw_0
26994,2/9/2005,Bahrain,Iran,Bahrain,FIFA World Cup qualification,0,1,0,-4,-3,1,-0.08000000000000007,3.1786,draw,0,draw_0
27005,2/9/2005,Denmark,Greece,Greece,FIFA World Cup qualification,5,3,3,9,-1,1,0.9299999999999997,3.0667,lose,-1,lose_1
27015,2/9/2005,Kenya,Morocco,Morocco,FIFA World Cup qualification,-1,1,3,7,1,0,5.699999999999999,3.75,lose,-4,lose_3
27022,2/9/2005,San Marino,Spain,Spain,FIFA World Cup qualification,-2,0,11,9,-3,-4,8.9786,8.5,lose,-5,lose_3
27007,2/9/2005,Brazil,Hong Kong,Hong Kong,Lunar New Year Cup,0,0,-5,13,3,3,-8.9525,7.75,win,6,win_3
26995,2/9/2005,Bulgaria,Serbia,Bulgaria,Friendly,1,0,5,-1,-1,0,-1.0187999999999997,3.1722,draw,0,draw_0
26991,2/9/2005,Algeria,Burkina Faso,Algeria,Friendly,2,4,-9,1,-4,4,-3.4299999999999997,3.5,win,3,win_3
26993,2/9/2005,Azerbaijan,Moldova,Azerbaijan,Friendly,-1,1,-6,4,-1,3,-0.6200000000000001,3.0,draw,0,draw_0
27003,2/9/2005,Georgia,Lithuania,Georgia,Friendly,2,1,-1,-5,-1,-1,-1.2000000000000002,3.2,win,1,win_1
27019,2/9/2005,Romania,Slovakia,Romania,Friendly,4,3,-4,5,2,-2,-1.7628,3.2214,draw,0,draw_0
27024,2/9/2005,Switzerland,United Arab Emirates,United Arab Emirates,Friendly,0,0,-4,-4,0,1,-1.6414000000000002,3.1786,win,1,win_1
27020,2/9/2005,Czech Republic,Slovenia,Slovenia,Friendly,0,0,1,4,5,-2,-0.7467000000000001,3.0833,win,3,win_3
27009,2/9/2005,Croatia,Israel,Israel,Friendly,3,0,-4,3,3,-1,-0.20140000000000002,3.1714,draw,0,draw_0
27000,2/9/2005,Belgium,Egypt,Egypt,Friendly,-1,0,-4,-2,-3,1,0.1867000000000001,3.1611,lose,-4,lose_3
27014,2/9/2005,Malta,Norway,Malta,Friendly,-3,2,8,9,-3,-2,8.6,5.5278,lose,-3,lose_3
27021,2/9/2005,Australia,South Africa,South Africa,Friendly,-5,1,11,10,2,0,0.8300000000000001,3.1611,draw,0,draw_0
27018,2/9/2005,Belarus,Poland,Poland,Friendly,0,2,10,-5,2,-1,4.4511,3.4322,win,2,win_2
27008,2/9/2005,Ireland,Portugal,Ireland,Friendly,-3,2,-9,-8,-1,2,-0.3580000000000001,3.19,win,1,win_1
27004,2/9/2005,Argentina,Germany,Germany,Friendly,2,2,11,-1,3,-1,0.16400000000000015,3.06,draw,0,draw_0
27002,2/9/2005,France,Sweden,France,Friendly,3,4,-4,-10,1,-1,-3.6622999999999997,3.3211,draw,0,draw_0
27010,2/9/2005,Italy,Russia,Italy,Friendly,0,6,-7,-4,2,0,-4.7810999999999995,3.3833,win,2,win_2
27081,3/25/2005,Kuwait,Uzbekistan,Kuwait,FIFA World Cup qualification,0,0,-3,-2,-4,1,-1.2128,3.2,win,1,win_1
27082,3/25/2005,South Korea,Saudi Arabia,Saudi Arabia,FIFA World Cup qualification,0,5,1,5,-1,1,-0.19999999999999973,3.0857,lose,-2,lose_2
27083,3/26/2005,Andorra,Armenia,Armenia,FIFA World Cup qualification,-3,0,3,-1,-2,-1,6.51,4.1755,lose,-1,lose_1
27087,3/26/2005,Bulgaria,Sweden,Bulgaria,FIFA World Cup qualification,-6,2,9,-9,-2,-1,0.5580000000000003,3.0660000000000003,lose,-3,lose_3
27096,3/26/2005,Estonia,Slovakia,Estonia,FIFA World Cup qualification,0,0,4,4,-2,0,1.637,3.179,lose,-1,lose_1
27103,3/26/2005,Liechtenstein,Russia,Liechtenstein,FIFA World Cup qualification,0,0,-5,-2,-3,-1,8.893,6.693,lose,-1,lose_1
27091,3/26/2005,Croatia,Iceland,Croatia,FIFA World Cup qualification,0,0,-6,1,4,0,-8.133299999999998,4.6889,win,4,win_3
27106,3/26/2005,Azerbaijan,Poland,Poland,FIFA World Cup qualification,-1,1,2,-12,-3,2,9.353,5.9670000000000005,lose,-8,lose_3
27098,3/26/2005,Georgia,Greece,Georgia,FIFA World Cup qualification,-3,0,7,1,-3,-2,1.5580999999999998,3.16,lose,-2,lose_2
27100,3/26/2005,Ireland,Israel,Israel,FIFA World Cup qualification,0,1,-4,-4,2,-1,-0.7477,3.14,draw,0,draw_0
27108,3/26/2005,Netherlands,Romania,Romania,FIFA World Cup qualification,3,2,1,1,-1,2,-0.7791000000000001,3.1018,win,2,win_2
27114,3/26/2005,Albania,Turkey,Turkey,FIFA World Cup qualification,1,2,6,-2,0,-2,8.017199999999999,5.2555,lose,-2,lose_2
27094,3/26/2005,Denmark,Kazakhstan,Denmark,FIFA World Cup qualification,0,0,-11,5,3,4,-8.9456,7.8333,win,3,win_3
27085,3/26/2005,Belgium,Bosnia-Herzegovina,Belgium,FIFA World Cup qualification,0,0,5,6,-1,-2,-2.5554,3.2918,win,3,win_3
27104,3/26/2005,Guinea,Morocco,Morocco,FIFA World Cup qualification,-4,5,5,2,-2,1,4.9733,3.7,lose,-1,lose_1
27097,3/26/2005,France,Switzerland,France,FIFA World Cup qualification,3,6,-10,3,1,1,-7.229000000000001,4.227,draw,0,draw_0
27101,3/26/2005,Italy,Scotland,Italy,FIFA World Cup qualification,3,1,1,1,4,-1,-9.0836,5.4445,win,2,win_2
27084,3/26/2005,Australia,Iraq,Australia,Friendly,1,1,9,1,2,1,-5.3100000000000005,3.75,win,1,win_1
27110,3/26/2005,Germany,Slovenia,Slovenia,Friendly,0,0,-1,14,3,0,-2.0956,3.2478,win,1,win_1
27107,3/26/2005,Canada,Portugal,Portugal,Friendly,0,1,-8,-4,-3,0,9.556999999999999,5.67,lose,-3,lose_3
27112,3/26/2005,China,Spain,Spain,Friendly,0,0,8,3,0,-1,9.536,5.7,lose,-3,lose_3
27089,3/26/2005,Chile,Uruguay,Chile,FIFA World Cup qualification,-28,14,-11,-7,-3,2,-1.1143,3.1214,draw,0,draw_0
27090,3/26/2005,Costa Rica,Panama,Costa Rica,FIFA World Cup qualification,12,5,-2,13,4,0,-4.7384,3.675,win,1,win_1
27099,3/26/2005,Guatemala,Trinidad and Tobago,Guatemala,FIFA World Cup qualification,-1,2,-3,3,-1,3,-2.1075,3.2625,win,4,win_3
27126,3/27/2005,Mexico,United States,Mexico,FIFA World Cup qualification,17,10,0,5,1,-2,-2.2874999999999996,3.2125,win,1,win_1
27130,3/29/2005,China,Ireland,Ireland,Friendly,-1,0,13,3,-1,0,8.102,4.5680000000000005,lose,-1,lose_1
27143,3/30/2005,Bahrain,Japan,Japan,FIFA World Cup qualification,-1,0,1,-7,-5,4,6.6662,4.0825,lose,-1,lose_1
27131,3/30/2005,Andorra,Czech Republic,Andorra,FIFA World Cup qualification,0,0,3,1,-6,1,8.9567,8.0,lose,-4,lose_3
27137,3/30/2005,Estonia,Russia,Estonia,FIFA World Cup qualification,-1,0,6,-4,-2,0,4.069000000000001,3.4339999999999997,draw,0,draw_0
27135,3/30/2005,Croatia,Malta,Croatia,FIFA World Cup qualification,2,0,-5,-6,3,2,-8.9667,8.2222,win,3,win_3
27147,3/30/2005,Latvia,Luxembourg,Latvia,FIFA World Cup qualification,2,0,-5,1,2,2,-8.9378,7.5,win,4,win_3
27161,3/30/2005,Denmark,Ukraine,Ukraine,FIFA World Cup qualification,1,1,0,7,0,1,0.593,3.097,lose,-1,lose_1
27138,3/30/2005,Georgia,Turkey,Georgia,FIFA World Cup qualification,-1,1,5,-6,-2,-1,2.9509000000000003,3.3309,lose,-3,lose_3
27146,3/30/2005,Kuwait,Saudi Arabia,Kuwait,FIFA World Cup qualification,2,8,1,1,-1,1,-0.5919999999999996,3.15,draw,0,draw_0
27157,3/30/2005,Portugal,Slovakia,Slovakia,FIFA World Cup qualification,2,0,-5,7,2,-2,-1.5763,3.1709,draw,0,draw_0
27154,3/30/2005,Northern Ireland,Poland,Poland,FIFA World Cup qualification,1,1,-4,-5,-2,4,8.7987,5.25,lose,-1,lose_1
27158,3/30/2005,Belarus,Slovenia,Slovenia,FIFA World Cup qualification,0,0,8,10,4,-2,2.4018000000000006,3.2564,draw,0,draw_0
27133,3/30/2005,Austria,Wales,Austria,FIFA World Cup qualification,3,1,2,6,-2,3,-2.7709,3.3564,win,1,win_1
27139,3/30/2005,Albania,Greece,Greece,FIFA World Cup qualification,-1,3,2,3,0,-2,8.8187,5.375,lose,-2,lose_2
27150,3/30/2005,Armenia,Netherlands,Netherlands,FIFA World Cup qualification,0,0,-4,8,-3,-2,8.9578,8.1667,lose,-2,lose_2
27155,3/30/2005,Belgium,San Marino,San Marino,FIFA World Cup qualification,4,0,-4,-6,1,1,-8.9522,8.1667,win,1,win_1
27159,3/30/2005,Cyprus,Switzerland,Switzerland,FIFA World Cup qualification,0,1,-1,2,-1,-1,8.8162,5.3375,lose,-1,lose_1
27140,3/30/2005,Bulgaria,Hungary,Hungary,FIFA World Cup qualification,-7,4,0,0,-3,4,0.29910000000000014,3.1627,draw,0,draw_0
27141,3/30/2005,France,Israel,Israel,FIFA World Cup qualification,3,3,-10,1,-1,2,-3.7459999999999996,3.3819999999999997,draw,0,draw_0
27142,3/30/2005,Iceland,Italy,Italy,Friendly,1,0,2,7,-5,1,8.615,5.2288,draw,0,draw_0
