,id,date,team_1,team_2,home_team,tournament,h_win_diff,h_draw,f_goalF_1,f_goalF_2,f_goalA_1,f_goalA_2,f_win_1,f_win_2,f_draw_1,f_draw_2,avg_odds_t1_win,avg_odds_draw,avg_odds_t2_win,result
37010,37010.0,2016-01-03,Afghanistan,India,India,SAFF Cup,-5.0,2.0,19.0,13.0,19.0,10.0,5.0,3.0,0.0,2.0,,,,lose
37011,37011.0,2016-01-06,Cameroon,Rwanda,Rwanda,Friendly,2.0,0.0,9.0,10.0,13.0,10.0,6.0,3.0,2.0,2.0,,,,draw
37012,37012.0,2016-01-06,Estonia,Sweden,Sweden,Friendly,-14.0,1.0,16.0,13.0,4.0,11.0,4.0,6.0,1.0,1.0,,,,draw
37013,37013.0,2016-01-08,Bangladesh,Sri Lanka,Bangladesh,Friendly,4.0,1.0,19.0,14.0,12.0,10.0,1.0,3.0,2.0,1.0,,,,win
37014,37014.0,2016-01-08,Haiti,Trinidad and Tobago,Trinidad and Tobago,Friendly,-4.0,6.0,8.0,20.0,15.0,11.0,4.0,5.0,4.0,2.0,,,,win
37015,37015.0,2016-01-10,Congo DR,Rwanda,Rwanda,Friendly,0.0,0.0,15.0,8.0,10.0,9.0,5.0,2.0,1.0,2.0,,,,lose
37016,37016.0,2016-01-10,Finland,Sweden,Sweden,Friendly,-56.0,11.0,8.0,14.0,7.0,13.0,3.0,6.0,2.0,2.0,,,,lose
37017,37017.0,2016-01-11,Cambodia,Maldives,Maldives,Friendly,-2.0,1.0,19.0,19.0,14.0,14.0,3.0,3.0,0.0,0.0,,,,lose
37018,37018.0,2016-01-13,Finland,Iceland,Finland,Friendly,4.0,2.0,8.0,12.0,8.0,13.0,3.0,4.0,3.0,4.0,,,,lose
37019,37019.0,2016-01-13,Nepal,Sri Lanka,Nepal,Friendly,-3.0,4.0,12.0,14.0,2.0,8.0,0.0,2.0,2.0,1.0,,,,win
37020,37020.0,2016-01-13,Cameroon,Uganda,Uganda,Friendly,0.0,0.0,9.0,10.0,12.0,8.0,6.0,8.0,3.0,1.0,,,,draw
37021,37021.0,2016-01-15,Bangladesh,Nepal,Bangladesh,Friendly,4.0,2.0,18.0,16.0,14.0,2.0,2.0,0.0,1.0,2.0,,,,draw
37022,37022.0,2016-01-16,Gabon,Morocco,Gabon,African Nations Championship,-4.0,1.0,12.0,10.0,9.0,14.0,2.0,6.0,4.0,2.0,,,,draw
37023,37023.0,2016-01-16,Ivory Coast,Rwanda,Rwanda,African Nations Championship,4.0,1.0,7.0,9.0,7.0,9.0,5.0,2.0,4.0,3.0,,,,lose
37024,37024.0,2016-01-16,Iceland,United Arab Emirates,United Arab Emirates,Friendly,2.0,0.0,14.0,33.0,12.0,6.0,3.0,6.0,4.0,1.0,,,,lose
37025,37025.0,2016-01-17,Angola,Cameroon,Angola,African Nations Championship,-4.0,6.0,14.0,10.0,10.0,12.0,5.0,5.0,2.0,4.0,,,,lose
37026,37026.0,2016-01-17,Congo DR,Ethiopia,Congo DR,African Nations Championship,3.0,0.0,15.0,14.0,11.0,10.0,5.0,3.0,2.0,3.0,,,,win
37027,37027.0,2016-01-18,Niger,Nigeria,Nigeria,African Nations Championship,-3.0,1.0,14.0,10.0,7.0,4.0,5.0,4.0,2.0,4.0,,,,lose
37028,37028.0,2016-01-18,Guinea,Tunisia,Tunisia,African Nations Championship,0.0,4.0,16.0,21.0,11.0,13.0,4.0,3.0,3.0,3.0,,,,draw
37029,37029.0,2016-01-19,Maldives,Nepal,Maldives,Friendly,6.0,2.0,22.0,15.0,15.0,2.0,3.0,1.0,0.0,2.0,,,,lose
37030,37030.0,2016-01-19,Mali,Uganda,Mali,African Nations Championship,0.0,0.0,16.0,11.0,14.0,7.0,3.0,8.0,5.0,1.0,,,,draw
37031,37031.0,2016-01-19,Zambia,Zimbabwe,Zimbabwe,African Nations Championship,8.0,18.0,15.0,17.0,5.0,10.0,3.0,6.0,4.0,1.0,,,,win
37032,37032.0,2016-01-20,Ivory Coast,Morocco,Morocco,African Nations Championship,3.0,6.0,9.0,11.0,4.0,13.0,5.0,6.0,4.0,2.0,,,,win
37033,37033.0,2016-01-20,Gabon,Rwanda,Rwanda,African Nations Championship,-1.0,1.0,13.0,10.0,9.0,8.0,3.0,3.0,3.0,3.0,,,,lose
37034,37034.0,2016-01-21,Cameroon,Ethiopia,Cameroon,African Nations Championship,1.0,0.0,8.0,14.0,9.0,11.0,4.0,3.0,5.0,4.0,,,,draw
37035,37035.0,2016-01-21,Angola,Congo DR,Congo DR,African Nations Championship,-1.0,2.0,11.0,15.0,10.0,11.0,4.0,5.0,2.0,2.0,,,,lose
37036,37036.0,2016-01-22,Guinea,Niger,Niger,African Nations Championship,0.0,0.0,17.0,12.0,10.0,7.0,5.0,5.0,2.0,3.0,,,,draw
37037,37037.0,2016-01-22,Nigeria,Tunisia,Tunisia,African Nations Championship,-1.0,6.0,12.0,22.0,3.0,12.0,5.0,4.0,4.0,3.0,,,,draw
37038,37038.0,2016-01-23,Uganda,Zambia,Uganda,African Nations Championship,-5.0,10.0,9.0,17.0,7.0,5.0,7.0,4.0,2.0,3.0,,,,lose
37039,37039.0,2016-01-23,Mali,Zimbabwe,Zimbabwe,African Nations Championship,-2.0,1.0,17.0,16.0,13.0,9.0,4.0,6.0,4.0,1.0,,,,win
37040,37040.0,2016-01-24,Gabon,Ivory Coast,Ivory Coast,African Nations Championship,-4.0,2.0,11.0,10.0,8.0,4.0,3.0,5.0,4.0,3.0,,,,lose
37041,37041.0,2016-01-24,Morocco,Rwanda,Morocco,African Nations Championship,0.0,0.0,10.0,10.0,13.0,8.0,5.0,4.0,3.0,3.0,,,,win
37042,37042.0,2016-01-25,Cameroon,Congo DR,Cameroon,African Nations Championship,7.0,10.0,6.0,17.0,7.0,10.0,4.0,6.0,5.0,1.0,,,,win
37043,37043.0,2016-01-25,Angola,Ethiopia,Ethiopia,African Nations Championship,0.0,0.0,9.0,14.0,10.0,11.0,4.0,2.0,2.0,4.0,,,,win
37044,37044.0,2016-01-26,Guinea,Nigeria,Guinea,African Nations Championship,0.0,6.0,18.0,15.0,11.0,3.0,5.0,6.0,2.0,3.0,,,,win
37045,37045.0,2016-01-26,Niger,Tunisia,Niger,African Nations Championship,-2.0,0.0,14.0,22.0,7.0,14.0,4.0,4.0,3.0,4.0,,,,lose
37046,37046.0,2016-01-27,Egypt,Jordan,Egypt,Friendly,1.0,0.0,16.0,16.0,10.0,9.0,7.0,7.0,0.0,3.0,,,,lose
37047,37047.0,2016-01-27,Uganda,Zimbabwe,Uganda,African Nations Championship,-3.0,6.0,11.0,15.0,7.0,10.0,6.0,6.0,3.0,1.0,,,,draw
37048,37048.0,2016-01-27,Mali,Zambia,Zambia,African Nations Championship,-2.0,2.0,18.0,15.0,14.0,5.0,4.0,5.0,4.0,3.0,,,,draw
37049,37049.0,2016-01-29,Egypt,Libya,Egypt,Friendly,2.0,2.0,20.0,14.0,8.0,8.0,7.0,2.0,0.0,1.0,,,,win
