id,date,team_1,team_2,home_team,tournament,h2h_win_diff,h2h_draw,form_diff_goalF,form_diff_goalA,form_diff_win,form_diff_draw,game_diff_rank,game_diff_ovr,game_diff_attk,game_diff_mid,game_diff_def,game_diff_prestige,game_diff_age11,game_diff_ageAll,game_diff_bup_speed,game_diff_bup_pass,game_diff_cc_pass,game_diff_cc_cross,game_diff_cc_shoot,game_diff_def_press,game_diff_def_aggr,game_diff_def_teamwidth,odd_diff_win,odd_draw,result
0,6/11/2010,Mexico,South Africa,South Africa,FIFA World Cup,1,0,-2,0,1,-3,-66,5,5,3,7,7,-0.73,-1.03,-2,19,-18,9,-3,8,3,-11,-0.3881,3.105,draw_0
1,6/11/2010,France,Uruguay,Uruguay,FIFA World Cup,0,2,5,-4,1,2,-7,4,1,8,7,8,-0.82,-0.1,3,4,2,-4,-19,20,-5,-4,-1.2874,3.1422,draw_0
2,6/13/2010,Australia,Germany,Germany,FIFA World Cup,-2,0,-1,-7,0,0,14,-9,-10,-9,-10,-8,4.73,2.13,-35,15,-31,18,-17,-14,2,0,5.6573,3.8581,lose_3
3,6/14/2010,Denmark,Netherlands,Netherlands,FIFA World Cup,-4,10,-3,1,-3,-1,32,-6,-7,-9,-4,-5,-0.18,1.42,31,7,-2,36,-28,5,-3,28,5.3661,3.9642,lose_2
4,6/16/2010,Spain,Switzerland,Spain,FIFA World Cup,15,3,13,8,6,-3,-22,9,8,11,10,8,0.45,0.53,27,-30,9,-18,1,14,-5,14,-12.1212,5.2088,lose_1
5,6/16/2010,South Africa,Uruguay,South Africa,FIFA World Cup,-1,1,9,-11,2,2,67,-6,-10,-2,-8,-3,-0.36,0.53,-10,-17,-10,5,-14,9,-14,19,0.8792,3.0235,lose_3
6,6/17/2010,Argentina,South Korea,Argentina,FIFA World Cup,2,0,8,0,1,0,-40,13,14,12,13,6,-0.73,0.77,-15,-22,17,13,14,-3,-7,18,-6.1411,3.8542,win_3
7,6/17/2010,France,Mexico,France,FIFA World Cup,5,1,-2,4,-2,2,-8,5,6,7,8,4,0.27,0.4,15,2,30,-18,-2,3,6,-12,-1.7019,3.1092,lose_2
8,6/19/2010,Cameroon,Denmark,Cameroon,FIFA World Cup,0,0,5,9,-1,1,-17,2,-1,1,-1,1,-0.45,-2.57,-13,1,-5,-27,30,8,-9,2,0.3031,3.19,lose_1
9,6/20/2010,Italy,New Zealand,Italy,FIFA World Cup,1,0,-2,-1,1,3,-72,18,19,23,18,13,-1.72,-0.27,20,-34,17,28,16,4,-15,8,-14.6,5.8054,draw_0
10,6/22/2010,France,South Africa,France,FIFA World Cup,2,1,-5,4,-1,-1,-74,10,11,10,15,11,-0.46,-0.63,13,21,12,-9,-5,11,9,-23,-1.3467,3.39,lose_1
11,6/22/2010,Mexico,Uruguay,Mexico,FIFA World Cup,4,7,4,-5,1,0,1,-1,-5,1,-1,4,-1.09,-0.5,-12,2,-28,14,-17,17,-11,8,0.0481,1.9526,lose_1
