id,date,team_1,team_2,home_team,tournament,match_type,host,h_win_diff,h_draw,form_diff_goalF,form_diff_goalA,form_diff_win,form_diff_draw,odd_diff_win,odd_draw,game_diff_rank,game_diff_ovr,game_diff_attk,game_diff_mid,game_diff_def,game_diff_prestige,game_diff_age11,game_diff_ageAll,game_diff_bup_speed,game_diff_bup_pass,game_diff_cc_pass,game_diff_cc_cross,game_diff_cc_shoot,game_diff_def_press,game_diff_def_aggr,game_diff_def_teamwidth,result,abnormal,goal_diff
33627,6/8/2012,Greece,Poland,Poland,UEFA Euro,group_stage_1,-1,-7,2,0,0,-2,2,2.04,3.1514,-51,-1,-1,-1,3,2,1.27,0.68,-24,0,14,18,10,-13,-15,-17,draw,1,0
33645,6/9/2012,Denmark,Netherlands,Netherlands,UEFA Euro,group_stage_1,0,-5,10,-11,6,2,-2,3.6118,3.545,6,-6,-8,-8,-2,-5,-0.46,0.64,36,16,-29,6,-17,5,-5,10,win,1,1
33641,6/9/2012,Germany,Portugal,Germany,UEFA Euro,group_stage_1,0,5,5,7,11,0,-1,-1.6026,3.287,-3,2,2,4,1,3,-1.27,-2.84,10,9,20,-4,15,-3,0,-12,win,0,1
33662,6/10/2012,Italy,Spain,Spain,UEFA Euro,group_stage_1,0,1,10,-18,0,-1,0,3.5489,3.395,11,-4,-1,-4,-3,-1,0.73,0.84,8,-5,24,28,-6,8,5,-10,draw,1,0
33654,6/10/2012,Croatia,Ireland,Ireland,UEFA Euro,group_stage_1,0,-1,3,9,1,1,-3,-1.9812,3.15,-10,1,3,4,2,3,-1.18,-0.08,14,-1,-1,24,11,21,21,12,win,0,2
33666,6/11/2012,England,France,France,UEFA Euro,group_stage_1,0,7,5,-3,6,0,-1,0.7515,2.9789,-9,0,1,2,-1,-1,0.46,-0.12,15,13,2,15,-1,7,1,-1,draw,0,0
33682,6/12/2012,Poland,Russia,Poland,UEFA Euro,group_stage_2,1,-4,4,2,3,-1,0,0.9237,3.2548,54,-3,-3,-4,-4,-1,-3,-1.72,-10,-19,-37,-21,-6,-4,-4,6,draw,0,0
33683,6/13/2012,Denmark,Portugal,Denmark,UEFA Euro,group_stage_2,0,-4,2,-6,1,2,-3,2.709,3.4586,5,-6,-7,-7,-6,-4,1.27,-0.28,16,19,10,-1,1,0,-3,-1,lose,1,-1
33684,6/13/2012,Germany,Netherlands,Netherlands,UEFA Euro,group_stage_2,0,4,14,0,9,0,1,-0.4234,3.2381,-2,2,1,3,5,2,-3,-1.92,30,6,-19,3,-3,2,-2,-1,win,0,1
33685,6/14/2012,Croatia,Italy,Italy,UEFA Euro,group_stage_2,0,2,2,6,0,0,2,0.7243,3.1207,-4,-5,-5,-4,-6,-6,0,-0.24,14,9,-26,9,11,16,6,2,draw,0,0
