id,date,team_1,team_2,home_team,tournament,match_type,host,h_win_diff,h_draw,form_diff_goalF,form_diff_goalA,form_diff_win,form_diff_draw,odd_diff_win,odd_draw,game_diff_rank,game_diff_ovr,game_diff_attk,game_diff_mid,game_diff_def,game_diff_prestige,game_diff_age11,game_diff_ageAll,game_diff_bup_speed,game_diff_bup_pass,game_diff_cc_pass,game_diff_cc_cross,game_diff_cc_shoot,game_diff_def_press,game_diff_def_aggr,game_diff_def_teamwidth
2,,Russia,Egypt,,,group_stage_2,1,0,0,2,9,-3,2,-1.91,3.34,25,3,4,0,1,1,-1.64,0.03,-2,0,5,-27,15,0,-15,15
2,,Portugal,Morocco,,,group_stage_2,0,-1,0,-2,2,0,1,-4.46,3.89,-37,8,14,6,5,5,-1,0.7,13,12,16,0,4,23,24,-30
2,,Uruguay,Saudi Arabia,,,group_stage_2,0,-1,1,4,-8,2,1,-23.31,9.32,-53,8,15,5,9,3,-2.64,-0.4,-31,-30,-39,-5,-30,0,25,-2
2,,Iran,Spain,,,group_stage_2,0,0,0,-18,-2,-1,0,17.25,6.5,27,-11,-10,-13,-12,-6,-2.45,-1,37,41,20,5,47,-49,-37,-30
2,,Denmark,Australia,,,group_stage_2,0,1,0,8,-7,3,-2,-3.9,3.75,-24,6,7,7,6,0,0.46,-0.58,1,4,16,-4,-21,25,10,-14
2,,France,Peru,,,group_stage_2,0,-1,0,5,7,-1,-1,-6.75,4.75,-4,9,8,9,8,6,-2.46,-1.68,-18,-19,-22,-27,-21,-19,-23,-3
2,,Argentina,Croatia,,,group_stage_2,0,1,1,6,5,0,1,-2.25,3.45,-15,4,5,0,3,3,1.27,1.89,-15,-11,-16,-22,-22,27,14,-22
2,,Brazil,Costa Rica,,,group_stage_2,0,8,0,10,-10,3,1,-17.52,6.81,-21,13,18,12,11,7,-3.36,-1.15,2,-2,-11,-43,28,33,23,24
2,,Nigeria,Iceland,,,group_stage_2,0,-1,0,-4,-2,0,2,-0.46,3.14,26,0,0,-2,-2,2,-4.09,-2.18,19,19,9,-1,30,15,5,21
2,,Serbia,Switzerland,,,group_stage_2,0,1,3,-6,4,-2,1,0.33,3.18,28,0,0,4,0,1,2.63,-0.02,-3,-1,-3,-23,-16,-2,-3,-16
2,,Belgium,Tunisia,,,group_stage_2,0,0,1,20,1,3,0,-8.42,5.29,-18,10,12,11,11,4,-0.09,0.34,-36,-32,-43,31,-23,31,-3,-13
2,,South Korea,Mexico,,,group_stage_2,0,-3,2,2,2,0,1,3.31,3.58,42,-6,-10,-5,-7,-2,-0.54,-1.42,10,9,3,17,6,-24,-17,26
2,,Germany,Sweden,,,group_stage_2,0,3,9,6,-1,2,1,-6.78,4.65,-23,9,7,9,8,5,-1.81,-1.29,-25,-18,-39,-15,-28,0,-5,25
2,,England,Panama,,,group_stage_2,0,0,0,2,-10,2,3,-15.56,6.25,-43,12,15,12,11,7,-6.91,-0.7,-13,-11,-6,10,-6,-31,-16,-12
2,,Japan,Senegal,,,group_stage_2,0,-2,1,-2,13,-2,-3,1.42,3.29,34,-1,-1,1,-3,-2,2.64,0.8,19,18,2,12,32,18,-4,-13
2,,Poland,Colombia,,,group_stage_2,0,-1,0,4,3,3,-4,1.11,3.31,-8,1,1,0,0,-2,-0.18,-0.83,-19,-14,-19,11,-39,-2,-9,-29
