id,date,team_1,team_2,home_team,tournament,h_win_diff,h_draw,form_diff_goalF,form_diff_goalA,form_diff_win,form_diff_draw,odd_diff_win,odd_draw,game_diff_rank,game_diff_ovr,game_diff_attk,game_diff_mid,game_diff_def,game_diff_prestige,game_diff_age11,game_diff_ageAll,game_diff_bup_speed,game_diff_bup_pass,game_diff_cc_pass,game_diff_cc_cross,game_diff_cc_shoot,game_diff_def_press,game_diff_def_aggr,game_diff_def_teamwidth,result,goal_diff
37400,6/10/2016,France,Romania,France,UEFA Euro,5,5,13,0,6,-7,-9.83,3.1929,-5,9,10,9,8,7,0.09,-0.82,-7,-14,9,-13,17,1,1,2,win,1
37403,6/11/2016,England,Russia,England,UEFA Euro,2,4,0,0,2,0,-3.731,3.2,-18,3,4,2,3,4,-3.73,-3.34,-11,3,-6,6,-6,-4,0,-4,draw,0
37415,6/12/2016,Northern Ireland,Poland,Poland,UEFA Euro,1,2,-16,-2,-1,3,3.959,3.75,-2,-6,-14,-7,-3,-6,0.36,1.22,2,20,14,-2,6,3,-6,9,lose,-1
37417,6/13/2016,Belgium,Italy,Belgium,UEFA Euro,-9,4,2,6,2,-1,-0.32,7.75,-10,1,1,3,-3,-4,-3,-2.39,-19,-18,-6,-27,4,24,12,16,lose,-2
37418,6/13/2016,Ireland,Sweden,Ireland,UEFA Euro,-2,2,-2,-2,1,0,1.48,3.1722,-2,0,-4,1,2,-1,-0.54,2.13,-4,0,7,-14,13,-2,-19,-12,draw,0
37421,6/13/2016,Czech Republic,Spain,Spain,UEFA Euro,-3,1,5,5,-2,-1,7.449,3.5,24,-9,-9,-12,-11,-8,-2.55,-0.56,6,12,15,15,-5,10,-3,7,lose,-1
37426,6/14/2016,Austria,Hungary,Austria,UEFA Euro,-25,29,0,6,2,-3,-4.57,3,-10,4,-1,8,7,0,-0.55,-0.26,9,-5,-1,-25,24,7,16,7,lose,-2
37431,6/15/2016,Romania,Switzerland,Romania,UEFA Euro,1,3,-7,0,-2,6,1.13,3.1786,7,-5,-4,-3,-6,0,3.09,1.91,-7,-2,-19,6,-8,-16,0,-2,draw,0
37436,6/16/2016,England,Wales,England,UEFA Euro,53,21,4,2,4,-2,-4.41,3.1714,-15,7,8,5,7,7,0.09,-1.39,-6,12,3,21,11,-5,-6,-12,win,1
37437,6/16/2016,Germany,Poland,Germany,UEFA Euro,12,6,-10,9,0,-2,-4.569,3.1611,-23,7,-4,9,8,9,-0.82,-1.22,8,5,12,1,7,7,1,0,draw,0
37442,6/17/2016,Italy,Sweden,Italy,UEFA Euro,3,6,2,1,1,-2,-2.71,3.4322,-23,5,-1,6,7,7,-0.81,0.83,3,9,9,-4,5,-8,-15,-18,win,1
37444,6/17/2016,Spain,Turkey,Spain,UEFA Euro,3,4,5,-1,-1,1,-7.5,3.19,-12,6,4,7,8,6,1.73,1.21,1,-12,-20,-4,-1,-8,-3,14,win,3
37446,6/18/2016,Belgium,Ireland,Belgium,UEFA Euro,1,5,6,3,2,-2,-3.087,3.06,-31,6,4,8,2,4,-3.27,-3.69,-12,-9,-4,-17,-4,18,16,10,win,3
37450,6/18/2016,Austria,Portugal,Portugal,UEFA Euro,1,5,-3,9,0,0,3.612,3.3833,2,-6,-13,-3,-3,-7,-0.37,-0.48,6,17,31,-22,18,7,16,-5,draw,0
37455,6/19/2016,France,Switzerland,Switzerland,UEFA Euro,4,9,8,0,4,0,-3.918,3.0857,2,4,6,6,2,7,3.18,1.09,-14,-16,-10,-7,9,-15,1,0,draw,0
37457,6/20/2016,Russia,Wales,Russia,UEFA Euro,4,3,2,11,1,0,-0.49,4.1755,3,4,4,3,4,3,3.82,1.95,5,9,9,15,17,-1,-6,-8,lose,-3
37460,6/21/2016,Czech Republic,Turkey,Czech Republic,UEFA Euro,2,1,12,2,-3,0,-0.69,6.693,12,-3,-5,-5,-3,-2,-0.82,0.65,7,0,-5,11,-6,2,-6,21,lose,-2
37463,6/21/2016,Germany,Northern Ireland,Northern Ireland,UEFA Euro,6,4,8,5,1,-4,-12.34,4.6889,-21,13,10,16,11,15,-1.18,-2.44,6,-15,-2,3,1,4,7,-9,win,1
37468,6/22/2016,Hungary,Portugal,Hungary,UEFA Euro,-7,3,-5,3,-2,3,7.87,3.16,12,-10,-12,-11,-10,-7,0.18,-0.22,-3,22,32,3,-6,0,0,-12,draw,0
37470,6/22/2016,Ireland,Italy,Italy,UEFA Euro,-6,3,-4,-3,-2,2,1.4,3.1018,21,-5,-3,-5,-5,-8,0.27,1.3,-7,-9,-2,-10,8,6,-4,6,win,1
37473,6/22/2016,Belgium,Sweden,Sweden,UEFA Euro,3,2,0,9,3,-4,-3.031,5.2555,-33,6,0,9,4,3,-3.81,-1.56,-16,-9,3,-31,9,16,-3,-2,win,1
37478,6/25/2016,Poland,Switzerland,Switzerland,UEFA Euro,3,4,3,-4,1,2,-0.12,3.2918,12,-2,6,-1,-7,0,1.36,0.52,-7,-17,-23,-12,13,-14,11,-1,win,0
37480,6/25/2016,Northern Ireland,Wales,Wales,UEFA Euro,-18,23,-3,-1,2,2,2.97,3.7,-1,-4,-6,-6,-4,-4,1.18,1.39,-3,11,-3,-1,22,-8,-3,-3,lose,-1
37483,6/26/2016,France,Ireland,France,UEFA Euro,2,5,10,2,6,-4,-7.469,4.227,-16,7,6,8,6,8,-0.09,-2.08,3,-9,9,2,2,-4,6,12,win,1
37485,6/26/2016,Belgium,Hungary,Hungary,UEFA Euro,6,2,4,4,3,-3,-5.469,3.75,-18,10,7,14,8,5,-2.36,-1.69,-19,-17,-26,-22,4,11,9,-1,win,4
37487,6/27/2016,Italy,Spain,Italy,UEFA Euro,-1,13,-1,4,-1,0,2.4,5.67,6,-4,-2,-6,-4,-1,-1.09,0.7,11,16,4,19,-15,-3,-3,-25,win,2
37489,6/30/2016,Poland,Portugal,Poland,UEFA Euro,-1,3,-1,-1,3,-1,1.32,5.7,19,-5,-3,-4,-7,-5,-0.82,-0.87,0,4,6,-5,8,-10,9,-12,lose,0
37490,7/1/2016,Belgium,Wales,Wales,UEFA Euro,1,3,2,6,4,-1,-2.969,3.1214,-24,7,6,8,4,5,-0.54,-0.87,-27,-8,-17,-13,6,10,3,-13,lose,-2
37491,7/2/2016,Germany,Italy,Germany,UEFA Euro,-7,10,0,0,0,-1,-1.58,3.675,-8,3,-1,5,0,2,-2.46,-2.57,11,-14,6,-12,21,10,13,17,win,0
37496,7/6/2016,Portugal,Wales,Portugal,UEFA Euro,1,0,1,0,1,2,-1.95,3.2125,-18,7,11,5,6,7,1.64,1.04,-5,-13,-23,6,8,-1,-6,0,win,2
37497,7/7/2016,France,Germany,Germany,UEFA Euro,3,6,4,0,2,0,-0.17,4.568,13,-1,4,-2,1,-2,2.64,1.79,-15,-4,1,4,-11,-8,-11,1,win,2
37498,7/10/2016,France,Portugal,Portugal,UEFA Euro,11,1,7,3,4,-3,-2.04,4.0825,9,1,-3,3,2,2,1,-0.3,-7,5,19,0,4,-11,-1,-11,lose,-1
