Country,Coach,player_pos,player_name,player_cap
France,Raymond Domenech,GK,Hugo Lloris,11
France,Raymond Domenech,DF,Bacary Sagna,20
France,Raymond Domenech,DF,Eric Abidal,54
France,Raymond Domenech,DF,Anthony Reveillere,6
France,Raymond Domenech,DF,William Gallas,81
France,Raymond Domenech,DF,Marc Planus,1
France,Raymond Domenech,MF,Franck Ribery,45
France,Raymond Domenech,MF,Yoann Gourcuff,20
France,Raymond Domenech,FW,Djibril Cisse,39
France,Raymond Domenech,FW,Sidney Govou,46
France,Raymond Domenech,FW,Andre-Pierre Gignac,13
France,Raymond Domenech,FW,Thierry Henry,121
France,Raymond Domenech,DF,Patrice Evra,30
France,Raymond Domenech,MF,Jeremy Toulalan,34
France,Raymond Domenech,MF,Florent Malouda,54
France,Raymond Domenech,GK,Steve Mandanda,13
France,Raymond Domenech,DF,Sebastien Squillaci,20
France,Raymond Domenech,MF,Alou Diarra,25
France,Raymond Domenech,MF,Abou Diaby,5
France,Raymond Domenech,MF,Mathieu Valbuena,2
France,Raymond Domenech,FW,Nicolas Anelka,67
France,Raymond Domenech,DF,Gael Clichy,4
France,Raymond Domenech,GK,Cedric Carrasso,0
Mexico,Javier Aguirre,GK,Oscar Perez,52
Mexico,Javier Aguirre,DF,Francisco Rodriguez,48
Mexico,Javier Aguirre,DF,Carlos Salcido,73
Mexico,Javier Aguirre,DF,Rafael Marquez,91
Mexico,Javier Aguirre,DF,Ricardo Osorio,76
Mexico,Javier Aguirre,MF,Gerardo Torrado,114
Mexico,Javier Aguirre,MF,Pablo Barrera,21
Mexico,Javier Aguirre,MF,Israel Castro,31
Mexico,Javier Aguirre,FW,Guillermo Franco,21
Mexico,Javier Aguirre,FW,Cuauhtemoc Blanco,115
Mexico,Javier Aguirre,FW,Carlos Vela,28
Mexico,Javier Aguirre,DF,Paul Aguilar,10
Mexico,Javier Aguirre,GK,Guillermo Ochoa,37
Mexico,Javier Aguirre,FW,Javier Hernandez,12
Mexico,Javier Aguirre,DF,Hector Moreno,10
