Nation,Rank,Overall,Attack,Midfield,Defence,HomeStadium,RivalTeam,InternationalPrestige,Starting11AverageAge,WholeTeamAverageAge,Captain,ShortFreeKick,LongFreeKick,Penalties,LeftCorner,RightCorner,BuildUpPlay_Speed,BuildUpPlay_Dribbling,BuildUpPlay_Passing,BuildUpPlay_Positioning,ChanceCreation_Passing,ChanceCreation_Crossing,ChanceCreation_Shooting,ChanceCreation_Positioning,Defence_Pressure,Defence_Aggression,Defence_TeamWidth,Defence_DefenderLine
Poland,65,76,74,74,72,StadionOlympik,Germany,11,26,25.48,J.Błaszczykowski,L.Obraniak,L.Obraniak,R.Lewandowski,L.Obraniak,L.Obraniak,50,(Little),39,Organised,33,42,42,Organised,37,38,51,Cover
Greece,14,75,73,73,75,StadeMunicipal,Turkey,13,27.27,26.16,G.Karagounis,G.Karagounis,G.Karagounis,G.Karagounis,G.Karagounis,G.Karagounis,26,(Little),39,Organised,47,60,52,Organised,24,23,34,Cover
Russia,11,79,77,78,76,StadionOlympik,Slovenia,12,29,27.2,A.Arshavin,Y.Zhirkov,S.Ignashevich,A.Kerzhakov,A.Arshavin,Y.Zhirkov,60,(Little),58,Organised,70,63,48,Organised,41,42,45,Cover
Netherlands,4,82,81,81,75,AmsterdamArenA,Germany,17,27.64,25.84,M.vanBommel,W.Sneijder,W.Sneijder,R.vanPersie,W.Sneijder,R.vanderVaart,29,(Little),34,Organised,67,45,66,Organised,42,49,52,Cover
Denmark,10,76,73,73,73,Waldstadion(Fussballstadion),Sweden,12,27.18,26.48,C.Poulsen,C.Eriksen,D.Agger,N.Bendtner,C.Eriksen,C.Eriksen,65,(Little),50,Organised,38,51,49,Organised,47,44,62,Cover
Germany,2,84,82,84,80,Olympiastadion,Netherlands,19,24.64,23.92,P.Lahm,M.Özil,B.Schweinsteiger,B.Schweinsteiger,B.Schweinsteiger,M.Özil,59,(Little),40,Organised,48,48,63,Organised,44,47,51,Cover
Portugal,5,82,80,80,79,EstadiodelasArtes(GenericStadiumNG),Spain,16,25.91,26.76,CristianoRonaldo,CristianoRonaldo,CristianoRonaldo,CristianoRonaldo,JoãoMoutinho,RaúlMeireles,49,(Little),31,Organised,28,52,48,Organised,47,47,63,Cover
Spain,1,87,84,86,83,Mestalla,Portugal,20,27,26.04,Casillas,Xavi,XabiAlonso,XabiAlonso,Xavi,Xavi,37,(Little),40,Organised,41,37,56,Free Form,37,50,60,Cover
Italy,12,83,83,82,80,StadioOlimpico,France,19,27.73,26.88,G.Buffon,A.Pirlo,A.Pirlo,M.Balotelli,A.Pirlo,A.Pirlo,45,(Little),35,Organised,65,65,50,Organised,45,55,50,Cover
Ireland,18,77,75,74,72,EstadiodelasArtes(GenericStadiumNG),England,10,28.91,26.72,R.Keane,G.Whelan,D.Duff,R.Keane,D.Duff,G.Whelan,45,(Little),45,Organised,40,50,50,Organised,40,40,40,Cover
Croatia,8,78,78,78,74,StadioClassico,Slovenia,13,27.73,26.64,D.Srna,D.Srna,D.Srna,D.Srna,D.Srna,D.Srna,59,(Little),44,Organised,39,74,61,Organised,61,61,52,Cover
Sweden,17,77,75,77,73,ForestParkStadium(SquareGround),Denmark,11,28.91,27.32,Z.Ibrahimović,Z.Ibrahimović,S.Larsson,Z.Ibrahimović,S.Larsson,K.Källström,49,(Little),32,Organised,33,39,68,Organised,42,59,66,Cover
England,7,83,82,83,81,WembleyStadium,Germany,17,26.73,26.04,G.Barry,A.Young,A.Young,W.Rooney,A.Young,G.Barry,63,(Little),49,Organised,51,67,51,Organised,43,47,51,Cover
France,16,83,81,81,82,ParcdesPrinces,Italy,18,26.27,26.16,H.Lloris,K.Benzema,F.Malouda,K.Benzema,S.Nasri,F.Malouda,48,(Little),36,Organised,49,52,52,Organised,36,46,52,Cover
