Nation,Rank,Overall,Attack,Midfield,Defence,HomeStadium,RivalTeam,InternationalPrestige,Starting11AverageAge,WholeTeamAverageAge,Captain,ShortFreeKick,LongFreeKick,Penalties,LeftCorner,RightCorner,BuildUpPlay_Speed,BuildUpPlay_Dribbling,BuildUpPlay_Passing,BuildUpPlay_Positioning,ChanceCreation_Passing,ChanceCreation_Crossing,ChanceCreation_Shooting,ChanceCreation_Positioning,Defence_Pressure,Defence_Aggression,Defence_TeamWidth,Defence_DefenderLine
Egypt,45,76,75,77,74,EkaterinburgArena,SaudiArabia,5,28.73,26.95,E.ElHadary,M.Salah,A.El-Said,M.Salah,A.El-Said,M.Salah,52,34,49,Organised,58,64,31,Organised,44,58,31,Cover
Russia,70,79,79,77,75,LuzhnikiStadium,Poland,6,27.09,26.98,I.Akinfeev,A.Samedov,A.Samedov,F.Smolov,A.Samedov,A.Samedov,50,77,49,Organised,63,37,46,Organised,44,43,46,Cover
Saudi Arabia,67,72,71,72,71,VolgogradArena,Egypt,4,28.91,27.28,O.Hawsawi,T.AlJassam,N.AlAbed,N.AlAbed,N.AlAbed,T.AlJassam,69,68,66,Organised,72,48,73,Organised,44,42,63,Cover
Uruguay,14,80,86,77,80,RostovArena,Argentina,7,26.27,26.88,D.Godín,L.Suárez,M.Vecino,L.Suárez,C.Rodríguez,C.Rodríguez,38,42,36,Organised,33,43,43,Organised,44,67,61,Cover
Iran,37,74,74,73,73,KazanArena,KoreaRepublic,3,25.82,26.18,A.Dejagah,A.Dejagah,R.Rezaeian,R.Rezaeian,R.Rezaeian,R.Rezaeian,69,67,69,Organised,47,37,67,Organised,26,25,22,Cover
Morocco,41,76,74,77,77,SaintPetersburgStadium,Tunisia,3,28.09,25.98,M.Benatia,H.Ziyech,H.Ziyech,H.Ziyech,H.Ziyech,H.Ziyech,38,52,38,Organised,38,58,58,Free Form,43,34,68,Cover
Portugal,4,84,88,83,82,FishtStadium,Spain,8,27.09,26.68,CristianoRonaldo,CristianoRonaldo,CristianoRonaldo,CristianoRonaldo,BernardoSilva,BernardoSilva,51,68,50,Organised,54,58,62,Free Form,66,58,38,Cover
Spain,10,85,84,86,85,KaliningradStadium,Germany,9,28.27,27.18,SergioRamos,DavidSilva,Iniesta,Iniesta,Iniesta,DavidSilva,32,41,28,Organised,27,32,20,Free Form,75,62,52,Cover
Australia,36,72,69,72,70,KazanArena,England,5,25.45,26.53,M.Jedinák,A.Mooy,A.Mooy,M.Jedinák,A.Mooy,A.Mooy,49,46,49,Organised,52,46,66,Organised,43,52,66,Cover
Denmark,12,78,76,79,76,SamaraArena,Sweden,5,25.91,25.95,S.Kjær,C.Eriksen,C.Eriksen,C.Eriksen,C.Eriksen,C.Eriksen,50,42,53,Organised,68,42,45,Organised,68,62,52,Cover
France,7,85,86,84,82,KazanArena,Brazil,9,24.27,25.05,H.Lloris,A.Griezmann,A.Griezmann,A.Griezmann,A.Griezmann,A.Griezmann,35,52,30,Organised,24,53,35,Organised,47,47,67,Cover
Peru,11,76,78,75,74,MordoviaArena,Mexico,3,26.73,26.73,A.Rodríguez,J.Farfán,J.Farfán,A.Carrillo,J.Farfán,J.Farfán,53,40,49,Organised,46,80,56,Organised,66,70,70,Cover
Argentina,5,84,86,82,81,SpartakStadium,Brazil,9,29.82,27.65,L.Messi,L.Messi,L.Messi,L.Messi,L.Messi,L.Messi,36,50,40,Organised,36,36,36,Free Form,76,66,36,Cover
