team_1,team_2,home_team,tournament,h_win_diff,h_draw,f_goalF_1,f_goalF_2,f_goalA_1,f_goalA_2,f_win_1,f_win_2,f_draw_1,f_draw_2,avg_odds_win_1,avg_odds_draw,avg_odds_win_2
103,155,155,21,-5,4,11,11,8,8,2,3,4,1,14.297,6.9,1.123
126,151,126,22,-1,1,8,23,4,10,4,3,4,4,2.1,3.3,3.0
17,82,82,22,1,0,11,14,13,16,2,5,4,3,3.1607,3.2572,2.2234
120,153,120,22,0,0,16,8,14,18,3,5,3,2,3.2608,3.1119,2.2285
10,153,10,22,2,1,26,10,12,13,2,4,1,2,1.985,3.2525,3.7461
44,90,90,35,2,2,13,7,12,12,5,5,3,1,3.1357,3.1207,2.4114
64,100,64,8,5,2,20,11,14,9,4,2,1,2,1.8529,3.46,3.9348
69,136,69,22,13,5,15,13,18,15,7,2,1,4,1.3719,4.2385,8.6823
67,177,67,21,-1,0,13,12,12,13,0,4,4,2,1.6226,3.58,5.1556
136,172,136,22,-34,21,10,11,11,7,3,4,3,3,2.9786,3.1931,2.3748
7,149,149,22,2,1,14,22,16,12,5,5,4,2,1.4325,4.2954,7.1789
18,182,18,22,0,2,19,15,9,16,6,5,2,3,2.3056,3.1333,2.7556
94,181,94,22,-1,0,23,18,9,16,4,5,4,2,2.8288,3.1353,2.3571
2,61,61,6,-1,2,16,11,15,11,6,3,2,1,1.7413,3.2617,4.5361
3,89,3,36,-2,0,11,14,15,18,0,3,1,4,21.7721,9.1524,1.1024
94,153,153,22,-3,0,14,14,6,12,5,5,2,1,6.9175,3.9,1.43
115,172,172,21,-8,0,20,9,19,20,1,4,2,5,9.99,9.246,1.013
145,184,184,22,-1,2,17,15,9,18,4,4,3,2,5.0579,3.5789,1.6475
32,66,32,21,5,9,17,16,12,9,6,7,1,2,1.3252,4.3557,8.4557
65,173,173,21,3,7,10,13,7,11,5,5,5,5,1.8718,3.1209,3.9809
10,92,10,22,1,0,28,12,13,12,5,5,2,3,1.77,3.19,4.02
165,148,148,21,1,1,24,14,10,8,6,2,2,6,1.7593,3.4167,4.3711
94,153,94,22,-3,0,13,4,11,9,2,2,5,4,2.895,3.0083,2.345
