Country,Coach,player_pos,player_name,player_cap
Brazil,Luiz Felipe Scolari,GK,Jefferson,9
Brazil,Luiz Felipe Scolari,DF,Dani Alves,75
Brazil,Luiz Felipe Scolari,DF,Thiago Silva,46
Brazil,Luiz Felipe Scolari,DF,David Luiz,36
Brazil,Luiz Felipe Scolari,MF,Fernandinho,7
Brazil,Luiz Felipe Scolari,DF,Marcelo,31
Brazil,Luiz Felipe Scolari,FW,Hulk,35
Brazil,Luiz Felipe Scolari,MF,Paulinho,26
Brazil,Luiz Felipe Scolari,FW,Fred,33
Brazil,Luiz Felipe Scolari,FW,Neymar,49
Brazil,Luiz Felipe Scolari,MF,Oscar,31
Brazil,Luiz Felipe Scolari,GK,Julio Cesar,80
Brazil,Luiz Felipe Scolari,DF,Dante,12
Brazil,Luiz Felipe Scolari,DF,Maxwell,9
Brazil,Luiz Felipe Scolari,DF,Henrique,5
Brazil,Luiz Felipe Scolari,MF,Ramires,42
Brazil,Luiz Felipe Scolari,MF,Luiz Gustavo,19
Brazil,Luiz Felipe Scolari,MF,Hernanes,24
Brazil,Luiz Felipe Scolari,MF,Willian,7
Brazil,Luiz Felipe Scolari,FW,Bernard,11
Brazil,Luiz Felipe Scolari,FW,Jo,17
Brazil,Luiz Felipe Scolari,GK,Victor,6
Brazil,Luiz Felipe Scolari,DF,Maicon,72
Cameroon,Volker Finke,GK,Loic Feudjou,2
Cameroon,Volker Finke,DF,Benoit Assou-Ekotto,22
Cameroon,Volker Finke,DF,Nicolas Nkoulou,48
Cameroon,Volker Finke,DF,Cedric Djeugoue,3
Cameroon,Volker Finke,DF,Dany Nounkeu,16
Cameroon,Volker Finke,MF,Alex Song,47
Cameroon,Volker Finke,MF,Landry N'Guemo,40
Cameroon,Volker Finke,FW,Benjamin Moukandjo,17
Cameroon,Volker Finke,FW,Samuel Eto'o,117
Cameroon,Volker Finke,FW,Vincent Aboubakar,24
Cameroon,Volker Finke,MF,Jean Makoun,66
Cameroon,Volker Finke,DF,Henri Bedimo,31
Cameroon,Volker Finke,FW,Eric Maxim Choupo-Moting,26
Cameroon,Volker Finke,DF,Aurelien Chedjou,31
Cameroon,Volker Finke,FW,Pierre Webo,56
Cameroon,Volker Finke,GK,Charles Itandje,9
Cameroon,Volker Finke,MF,Stephane Mbia,49
Cameroon,Volker Finke,MF,Eyong Enoh,38
Cameroon,Volker Finke,FW,Fabrice Olinga,8
Cameroon,Volker Finke,MF,Edgar Salli,9
Cameroon,Volker Finke,MF,Joel Matip,23
Cameroon,Volker Finke,DF,Allan Nyom,10
Cameroon,Volker Finke,GK,Sammy N'Djock,3
Croatia,Niko Kovac,GK,Stipe Pletikosa,111
Croatia,Niko Kovac,DF,Sime Vrsaljko,7
Croatia,Niko Kovac,DF,Danijel Pranjic,50
Croatia,Niko Kovac,MF,Ivan Perisic,29
Croatia,Niko Kovac,DF,Vedran Corluka,72
Croatia,Niko Kovac,DF,Dejan Lovren,25
Croatia,Niko Kovac,MF,Ivan Rakitic,62
Croatia,Niko Kovac,MF,Ognjen Vukojevic,55
Croatia,Niko Kovac,FW,Nikica Jelavic,33
Croatia,Niko Kovac,MF,Luka Modric,75
Croatia,Niko Kovac,DF,Darijo Srna,112
Croatia,Niko Kovac,GK,Oliver Zelenika,0
Croatia,Niko Kovac,DF,Gordon Schildenfeld,21
Croatia,Niko Kovac,MF,Marcelo Brozovic,1
Croatia,Niko Kovac,MF,Milan Badelj,9
Croatia,Niko Kovac,FW,Ante Rebic,5
Croatia,Niko Kovac,FW,Mario Mandzukic,50
Croatia,Niko Kovac,FW,Ivica Olic,92
Croatia,Niko Kovac,MF,Sammir,6
Croatia,Niko Kovac,MF,Mateo Kovacic,10
Croatia,Niko Kovac,DF,Domagoj Vida,23
Croatia,Niko Kovac,FW,Eduardo,63
Croatia,Niko Kovac,GK,Danijel Subasic,6
Mexico,Miguel Herrera,GK,Jesus Corona,34
Mexico,Miguel Herrera,DF,Francisco Javier Rodriguez,95
Mexico,Miguel Herrera,DF,Carlos Salcido,122
Mexico,Miguel Herrera,DF,Rafael Marquez,120
Mexico,Miguel Herrera,DF,Diego Reyes,14
Mexico,Miguel Herrera,MF,Hector Herrera,13
Mexico,Miguel Herrera,DF,Miguel Layun,15
Mexico,Miguel Herrera,MF,Marco Fabian,15
Mexico,Miguel Herrera,FW,Raul Jimenez,25
Mexico,Miguel Herrera,MF,Giovani dos Santos,76
Mexico,Miguel Herrera,FW,Alan Pulido,6
Mexico,Miguel Herrera,GK,Alfredo Talavera,14
Mexico,Miguel Herrera,GK,Guillermo Ochoa,59
Mexico,Miguel Herrera,FW,Javier Hernandez,62
Mexico,Miguel Herrera,DF,Hector Moreno,53
Mexico,Miguel Herrera,DF,Miguel Angel Ponce,8
Mexico,Miguel Herrera,MF,Isaac Brizuela,7
Mexico,Miguel Herrera,MF,Andres Guardado,104
Mexico,Miguel Herrera,FW,Oribe Peralta,33
Mexico,Miguel Herrera,MF,Javier Aquino,22
Mexico,Miguel Herrera,MF,Carlos Pena,16
Mexico,Miguel Herrera,DF,Paul Aguilar,30
Mexico,Miguel Herrera,MF,Jose Juan Vazquez,5
Australia,Ange Postecoglou,GK,Mathew Ryan,7
