Country,Coach,player_pos,player_name,player_cap
Mexico,Juan Carlos Osorio,GK,Rodolfo Cota,1
Mexico,Juan Carlos Osorio,DF,Nestor Araujo,15
Mexico,Juan Carlos Osorio,DF,Carlos Salcedo,11
Mexico,Juan Carlos Osorio,DF,Rafael Marquez,139
Mexico,Juan Carlos Osorio,DF,Diego Reyes,45
Mexico,Juan Carlos Osorio,MF,Jonathan dos Santos,24
Mexico,Juan Carlos Osorio,MF,Miguel Layun,51
Mexico,Juan Carlos Osorio,FW,Marco Fabian,35
Mexico,Juan Carlos Osorio,FW,Raul Jimenez,52
Mexico,Juan Carlos Osorio,MF,Giovani dos Santos,96
Mexico,Juan Carlos Osorio,MF,Carlos Vela,55
Mexico,Juan Carlos Osorio,GK,Alfredo Talavera,26
Mexico,Juan Carlos Osorio,GK,Guillermo Ochoa,80
Mexico,Juan Carlos Osorio,FW,Javier Hernandez,92
Mexico,Juan Carlos Osorio,DF,Hector Moreno,79
Mexico,Juan Carlos Osorio,MF,Hector Herrera,54
Mexico,Juan Carlos Osorio,MF,Jurgen Damm,6
Mexico,Juan Carlos Osorio,MF,Andres Guardado,136
Mexico,Juan Carlos Osorio,FW,Oribe Peralta,56
Mexico,Juan Carlos Osorio,MF,Javier Aquino,43
Mexico,Juan Carlos Osorio,DF,Luis Reyes,4
Mexico,Juan Carlos Osorio,FW,Hirving Lozano,16
Mexico,Juan Carlos Osorio,MF,Oswaldo Alanis,16
New Zealand,Anthony Hudson,GK,Stefan Marinovic,16
New Zealand,Anthony Hudson,DF,Sam Brotherton,7
New Zealand,Anthony Hudson,DF,Deklan Wynne,9
New Zealand,Anthony Hudson,DF,Themistoklis Tzimopoulos,11
New Zealand,Anthony Hudson,DF,Michael Boxall,24
New Zealand,Anthony Hudson,MF,Bill Tuiloma,18
New Zealand,Anthony Hudson,FW,Kosta Barbarouses,39
New Zealand,Anthony Hudson,MF,Michael McGlinchey,44
New Zealand,Anthony Hudson,FW,Chris Wood,49
