player_cap,player_pos,Country,player_name,Coach
64,GK,Colombia,David Ospina,Jose Pekerman
40,DF,Colombia,Cristian Zapata,Jose Pekerman
2,DF,Colombia,Yerry Mina,Jose Pekerman
21,DF,Colombia,Santiago Arias,Jose Pekerman
1,MF,Colombia,Guillermo Celis,Jose Pekerman
62,MF,Colombia,Carlos Sanchez,Jose Pekerman
27,FW,Colombia,Carlos Bacca,Jose Pekerman
14,MF,Colombia,Edwin Cardona,Jose Pekerman
0,FW,Colombia,Roger Martinez,Jose Pekerman
42,MF,Colombia,James Rodriguez,Jose Pekerman
49,MF,Colombia,Juan Guillermo Cuadrado,Jose Pekerman
3,GK,Colombia,Robinson Zapata,Jose Pekerman
2,MF,Colombia,Sebastian Perez,Jose Pekerman
0,DF,Colombia,Felipe Aguilar,Jose Pekerman
4,DF,Colombia,Stefan Medina,Jose Pekerman
4,MF,Colombia,Daniel Torres,Jose Pekerman
27,FW,Colombia,Dayro Moreno,Jose Pekerman
5,DF,Colombia,Frank Fabra,Jose Pekerman
2,DF,Colombia,Farid Diaz,Jose Pekerman
1,MF,Colombia,Andres Felipe Roa,Jose Pekerman
2,FW,Colombia,Marlos Moreno,Jose Pekerman
16,DF,Colombia,Jeison Murillo,Jose Pekerman
0,GK,Colombia,Cristian Bonilla,Jose Pekerman
0,GK,Costa Rica,Danny Carvajal,Oscar Ramirez
40,DF,Costa Rica,Johnny Acosta,Oscar Ramirez
11,DF,Costa Rica,Francisco Calvo,Oscar Ramirez
92,DF,Costa Rica,Michael Umana,Oscar Ramirez
88,MF,Costa Rica,Celso Borges,Oscar Ramirez
28,DF,Costa Rica,Oscar Duarte,Oscar Ramirez
57,MF,Costa Rica,Christian Bolanos,Oscar Ramirez
28,DF,Costa Rica,Bryan Oviedo,Oscar Ramirez
107,FW,Costa Rica,Alvaro Saborio,Oscar Ramirez
87,FW,Costa Rica,Bryan Ruiz,Oscar Ramirez
21,MF,Costa Rica,Johan Venegas,Oscar Ramirez
58,FW,Costa Rica,Joel Campbell,Oscar Ramirez
14,MF,Costa Rica,Oscar Granados,Oscar Ramirez
38,MF,Costa Rica,Randall Azofeifa,Oscar Ramirez
26,DF,Costa Rica,Jose Salvatierra,Oscar Ramirez
47,DF,Costa Rica,Cristian Gamboa,Oscar Ramirez
34,MF,Costa Rica,Yeltsin Tejeda,Oscar Ramirez
27,GK,Costa Rica,Patrick Pemberton,Oscar Ramirez
7,DF,Costa Rica,Kendall Waston,Oscar Ramirez
0,FW,Costa Rica,Johnny Woodly,Oscar Ramirez
40,FW,Costa Rica,Marco Urena,Oscar Ramirez
8,DF,Costa Rica,Ronald Matarrita,Oscar Ramirez
5,GK,Costa Rica,Leonel Moreira,Oscar Ramirez
114,GK,Paraguay,Justo Villar,Ramon Diaz
3,DF,Paraguay,Fabian Balbuena,Ramon Diaz
13,DF,Paraguay,Gustavo Gomez,Ramon Diaz
24,DF,Paraguay,Ivan Piris,Ramon Diaz
10,DF,Paraguay,Bruno Valdez,Ramon Diaz
33,DF,Paraguay,Miguel Samudio,Ramon Diaz
5,FW,Paraguay,Jorge Benitez,Ramon Diaz
6,MF,Paraguay,Juan Rodrigo Rojas,Ramon Diaz
5,FW,Paraguay,Antonio Sanabria,Ramon Diaz
20,FW,Paraguay,Derlis Gonzalez,Ramon Diaz
52,FW,Paraguay,Edgar Benitez,Ramon Diaz
14,GK,Paraguay,Antony Silva,Ramon Diaz
0,MF,Paraguay,Blas Riveros,Ramon Diaz
133,DF,Paraguay,Paulo da Silva,Ramon Diaz
1,FW,Paraguay,Juan Iturbe,Ramon Diaz
8,MF,Paraguay,Celso Ortiz,Ramon Diaz
1,FW,Paraguay,Miguel Almiron,Ramon Diaz
74,FW,Paraguay,Nelson Haedo Valdez,Ramon Diaz
5,FW,Paraguay,Dario Lezcano,Ramon Diaz
17,DF,Paraguay,Victor Ayala,Ramon Diaz
17,MF,Paraguay,Oscar Romero,Ramon Diaz
13,GK,Paraguay,Diego Barreto,Ramon Diaz
0,MF,Paraguay,Robert Piris Da Motta,Ramon Diaz
42,GK,United States,Brad Guzan,Jurgen Klinsmann
31,DF,United States,DeAndre Yedlin,Jurgen Klinsmann
4,DF,United States,Steve Birnbaum,Jurgen Klinsmann
113,MF,United States,Michael Bradley,Jurgen Klinsmann
31,DF,United States,Matt Besler,Jurgen Klinsmann
18,DF,United States,John Brooks,Jurgen Klinsmann
16,FW,United States,Bobby Wood,Jurgen Klinsmann
122,FW,United States,Clint Dempsey,Jurgen Klinsmann
23,FW,United States,Gyasi Zardes,Jurgen Klinsmann
5,MF,United States,Darlington Nagbe,Jurgen Klinsmann
45,MF,United States,Alejandro Bedoya,Jurgen Klinsmann
107,GK,United States,Tim Howard,Jurgen Klinsmann
58,MF,United States,Jermaine Jones,Jurgen Klinsmann
22,DF,United States,Michael Orozco,Jurgen Klinsmann
52,MF,United States,Kyle Beckerman,Jurgen Klinsmann
3,MF,United States,Perry Kitchen,Jurgen Klinsmann
1,FW,United States,Christian Pulisic,Jurgen Klinsmann
31,FW,United States,Chris Wondolowski,Jurgen Klinsmann
33,MF,United States,Graham Zusi,Jurgen Klinsmann
39,DF,United States,Geoff Cameron,Jurgen Klinsmann
18,DF,United States,Edgar Castillo,Jurgen Klinsmann
0,GK,United States,Ethan Horvath,Jurgen Klinsmann
42,DF,United States,Fabian Johnson,Jurgen Klinsmann
5,GK,Brazil,Alisson,Dunga
89,DF,Brazil,Dani Alves,Dunga
29,DF,Brazil,Miranda,Dunga
6,DF,Brazil,Gil,Dunga
9,MF,Brazil,Casemiro,Dunga
23,DF,Brazil,Filipe Luis,Dunga
8,MF,Brazil,Ganso,Dunga
31,MF,Brazil,Elias,Dunga
9,FW,Brazil,Jonas,Dunga
9,MF,Brazil,Lucas Lima,Dunga
1,FW,Brazil,Gabriel,Dunga
8,GK,Brazil,Diego Alves,Dunga
9,DF,Brazil,Marquinhos,Dunga
1,DF,Brazil,Rodrigo Caio,Dunga
3,DF,Brazil,Fabinho,Dunga
1,DF,Brazil,Douglas Santos,Dunga
0,MF,Brazil,Walace,Dunga
7,MF,Brazil,Renato Augusto,Dunga
34,MF,Brazil,Willian,Dunga
33,MF,Brazil,Lucas Moura,Dunga
46,FW,Brazil,Hulk,Dunga
13,MF,Brazil,Philippe Coutinho,Dunga
2,GK,Brazil,Marcelo Grohe,Dunga
27,GK,Ecuador,Maximo Banguera,Gustavo Quinteros
7,DF,Ecuador,Arturo Mina,Gustavo Quinteros
57,DF,Ecuador,Frickson Erazo,Gustavo Quinteros
58,DF,Ecuador,Juan Carlos Paredes,Gustavo Quinteros
4,DF,Ecuador,Cristian Ramirez,Gustavo Quinteros
63,MF,Ecuador,Christian Noboa,Gustavo Quinteros
55,MF,Ecuador,Jefferson Montero,Gustavo Quinteros
4,MF,Ecuador,Fernando Gaibor,Gustavo Quinteros
23,MF,Ecuador,Fidel Martinez,Gustavo Quinteros
111,DF,Ecuador,Walter Ayovi,Gustavo Quinteros
26,MF,Ecuador,Michael Arroyo,Gustavo Quinteros
1,GK,Ecuador,Esteban Dreer,Gustavo Quinteros
24,FW,Ecuador,Enner Valencia,Gustavo Quinteros
6,MF,Ecuador,Angel Mena,Gustavo Quinteros
0,MF,Ecuador,Pedro Larrea,Gustavo Quinteros
80,MF,Ecuador,Antonio Valencia,Gustavo Quinteros
34,FW,Ecuador,Jaime Ayovi,Gustavo Quinteros
10,MF,Ecuador,Carlos Gruezo,Gustavo Quinteros
12,MF,Ecuador,Juan Cazares,Gustavo Quinteros
0,DF,Ecuador,Robert Arboleda,Gustavo Quinteros
36,DF,Ecuador,Gabriel Achilier,Gustavo Quinteros
36,GK,Ecuador,Alexander Dominguez,Gustavo Quinteros
12,FW,Ecuador,Miller Bolanos,Gustavo Quinteros
27,GK,Haiti,Johny Placide,Patrice Neveu
64,DF,Haiti,Jean Sony Alcenat,Patrice Neveu
52,DF,Haiti,Mechack Jerome,Patrice Neveu
19,DF,Haiti,Kim Jaggy,Patrice Neveu
4,DF,Haiti,Romain Genevois,Patrice Neveu
4,DF,Haiti,Stephane Lambese,Patrice Neveu
36,FW,Haiti,Wilde-Donald Guerrier,Patrice Neveu
21,DF,Haiti,Reginal Goreux,Patrice Neveu
27,FW,Haiti,Kervens Belfort,Patrice Neveu
26,FW,Haiti,Jeff Louis,Patrice Neveu
31,MF,Haiti,Pascal Millien,Patrice Neveu
8,GK,Haiti,Steward Ceus,Patrice Neveu
21,MF,Haiti,Kevin Lafrance,Patrice Neveu
29,MF,Haiti,James Marcelin,Patrice Neveu
25,MF,Haiti,Sony Norde,Patrice Neveu
38,MF,Haiti,Jean Alexandre,Patrice Neveu
11,MF,Haiti,Soni Mustivar,Patrice Neveu
46,DF,Haiti,Judelin Aveska,Patrice Neveu
7,MF,Haiti,Max Hilaire,Patrice Neveu
13,FW,Haiti,Duckens Nazon,Patrice Neveu
30,FW,Haiti,Jean-Eudes Maurice,Patrice Neveu
5,DF,Haiti,Alex Junior Christian,Patrice Neveu
0,GK,Haiti,Luis Valendi Odelus,Patrice Neveu
19,GK,Peru,Pedro Gallese,Ricardo Gareca
52,DF,Peru,Alberto Rodriguez,Ricardo Gareca
8,DF,Peru,Aldo Corzo,Ricardo Gareca
18,DF,Peru,Renzo Revoredo,Ricardo Gareca
12,MF,Peru,Adan Balbin,Ricardo Gareca
2,DF,Peru,Miguel Trauco,Ricardo Gareca
0,MF,Peru,Luiz da Silva,Ricardo Gareca
1,MF,Peru,Andy Polo,Ricardo Gareca
67,FW,Peru,Paolo Guerrero,Ricardo Gareca
21,FW,Peru,Christian Cueva,Ricardo Gareca
13,FW,Peru,Raul Ruidiaz,Ricardo Gareca
15,GK,Peru,Diego Penny,Ricardo Gareca
8,MF,Peru,Renato Tapia,Ricardo Gareca
0,MF,Peru,Armando Alfageme,Ricardo Gareca
43,DF,Peru,Christian Ramos,Ricardo Gareca
1,MF,Peru,Oscar Vilchez,Ricardo Gareca
0,DF,Peru,Luis Abram,Ricardo Gareca
9,MF,Peru,Cristian Benavente,Ricardo Gareca
52,MF,Peru,Yoshimar Yotun,Ricardo Gareca
4,FW,Peru,Edison Flores,Ricardo Gareca
0,MF,Peru,Alejandro Hohberg,Ricardo Gareca
7,DF,Peru,Jair Cespedes,Ricardo Gareca
0,GK,Peru,Carlos Caceda,Ricardo Gareca
15,GK,Jamaica,Andre Blake,Winfried Schafer
0,DF,Jamaica,Damano Solomon,Winfried Schafer
13,DF,Jamaica,Michael Hector,Winfried Schafer
25,DF,Jamaica,Wes Morgan,Winfried Schafer
1,DF,Jamaica,Rosario Harriott,Winfried Schafer
5,FW,Jamaica,Dever Orgill,Winfried Schafer
0,MF,Jamaica,Chevone Marsh,Winfried Schafer
4,FW,Jamaica,Clayton Donaldson,Winfried Schafer
14,FW,Jamaica,Giles Barnes,Winfried Schafer
26,MF,Jamaica,Jobi McAnuff,Winfried Schafer
3,MF,Jamaica,Andrew Vanzie,Winfried Schafer
0,MF,Jamaica,Michael Binns,Winfried Schafer
14,GK,Jamaica,Duwayne Kerr,Winfried Schafer
5,FW,Jamaica,Allan Ottey,Winfried Schafer
54,MF,Jamaica,Je-Vaughn Watson,Winfried Schafer
4,MF,Jamaica,Lee Williamson,Winfried Schafer
84,MF,Jamaica,Rodolph Austin,Winfried Schafer
