Country,Coach,player_pos,player_name,player_cap
Poland,Franciszek Smuda,GK,Wojciech Szczesny,11
Poland,Franciszek Smuda,DF,Sebastian Boenisch,9
Poland,Franciszek Smuda,DF,Grzegorz Wojtkowiak,19
Poland,Franciszek Smuda,DF,Marcin Kaminski,3
Poland,Franciszek Smuda,MF,Dariusz Dudka,65
Poland,Franciszek Smuda,MF,Adam Matuszczyk,20
Poland,Franciszek Smuda,MF,Eugen Polanski,11
Poland,Franciszek Smuda,MF,Maciej Rybus,22
Poland,Franciszek Smuda,FW,Robert Lewandowski,45
Poland,Franciszek Smuda,MF,Ludovic Obraniak,26
Poland,Franciszek Smuda,MF,Rafal Murawski,46
Poland,Franciszek Smuda,GK,Grzegorz Sandomierski,3
Poland,Franciszek Smuda,DF,Marcin Wasilewski,51
Poland,Franciszek Smuda,DF,Jakub Wawrzyniak,26
Poland,Franciszek Smuda,DF,Damien Perquis,10
Poland,Franciszek Smuda,MF,Jakub Blaszczykowski,54
Poland,Franciszek Smuda,FW,Artur Sobiech,5
Poland,Franciszek Smuda,MF,Adrian Mierzejewski,25
Poland,Franciszek Smuda,MF,Rafal Wolski,3
Poland,Franciszek Smuda,DF,Lukasz Piszczek,27
Poland,Franciszek Smuda,MF,Kamil Grosicki,14
Poland,Franciszek Smuda,GK,Przemyslaw Tyton,8
Poland,Franciszek Smuda,FW,Pawel Brozek,36
Greece,Fernando Santos,GK,Kostas Chalkias,32
Greece,Fernando Santos,MF,Giannis Maniatis,13
Greece,Fernando Santos,DF,Georgios Tzavelas,8
Greece,Fernando Santos,DF,Stelios Malezas,2
Greece,Fernando Santos,DF,Kyriakos Papadopoulos,12
Greece,Fernando Santos,MF,Grigoris Makos,13
Greece,Fernando Santos,FW,Georgios Samaras,58
Greece,Fernando Santos,DF,Avraam Papadopoulos,34
Greece,Fernando Santos,FW,Nikos Liberopoulos,76
Greece,Fernando Santos,MF,Giorgos Karagounis,120
Greece,Fernando Santos,FW,Konstantinos Mitroglou,14
Greece,Fernando Santos,GK,Alexandros Tzorvas,16
Greece,Fernando Santos,GK,Michalis Sifakis,15
Greece,Fernando Santos,FW,Dimitris Salpingidis,60
Greece,Fernando Santos,DF,Vasilis Torosidis,48
Greece,Fernando Santos,MF,Georgios Fotakis,12
Greece,Fernando Santos,FW,Theofanis Gekas,62
Greece,Fernando Santos,MF,Sotiris Ninis,22
Greece,Fernando Santos,DF,Sokratis Papastathopoulos,31
Greece,Fernando Santos,DF,Jose Holebas,7
Greece,Fernando Santos,MF,Kostas Katsouranis,95
Greece,Fernando Santos,MF,Kostas Fortounis,5
Greece,Fernando Santos,MF,Giannis Fetfatzidis,13
Russia,Dick Advocaat,GK,Igor Akinfeev,51
Russia,Dick Advocaat,DF,Aleksandr Anyukov,64
Russia,Dick Advocaat,DF,Roman Sharonov,8
Russia,Dick Advocaat,DF,Sergei Ignashevich,74
Russia,Dick Advocaat,DF,Yuri Zhirkov,51
Russia,Dick Advocaat,MF,Roman Shirokov,21
Russia,Dick Advocaat,MF,Igor Denisov,25
Russia,Dick Advocaat,MF,Konstantin Zyryanov,49
Russia,Dick Advocaat,MF,Marat Izmailov,32
Russia,Dick Advocaat,FW,Andrey Arshavin,70
Russia,Dick Advocaat,FW,Aleksandr Kerzhakov,60
Russia,Dick Advocaat,DF,Aleksei Berezutski,47
Russia,Dick Advocaat,GK,Anton Shunin,2
Russia,Dick Advocaat,FW,Roman Pavlyuchenko,46
Russia,Dick Advocaat,DF,Dmitri Kombarov,3
Russia,Dick Advocaat,GK,Vyacheslav Malafeev,25
Russia,Dick Advocaat,MF,Alan Dzagoev,19
Russia,Dick Advocaat,FW,Aleksandr Kokorin,4
Russia,Dick Advocaat,DF,Vladimir Granat,0
Russia,Dick Advocaat,FW,Pavel Pogrebnyak,32
Russia,Dick Advocaat,DF,Kirill Nababkin,1
Russia,Dick Advocaat,MF,Denis Glushakov,9
Russia,Dick Advocaat,MF,Igor Semshov,56
Czech Republic,Michal Bilek,GK,Petr Cech,94
Czech Republic,Michal Bilek,DF,Theodor Gebre Selassie,14
Czech Republic,Michal Bilek,DF,Michal Kadlec,38
Czech Republic,Michal Bilek,DF,Marek Suchy,4
Czech Republic,Michal Bilek,DF,Roman Hubnik,23
Czech Republic,Michal Bilek,DF,Tomas Sivok,30
Czech Republic,Michal Bilek,FW,Tomas Necid,26
Czech Republic,Michal Bilek,DF,David Limbersky,12
Czech Republic,Michal Bilek,MF,Jan Rezek,16
Czech Republic,Michal Bilek,MF,Tomas Rosicky,87
Czech Republic,Michal Bilek,MF,Milan Petrzela,11
Czech Republic,Michal Bilek,DF,Frantisek Rajtoral,5
