brazil,1370
cameroon,1395
mexico,1386
australia,1415
chile,111459
netherlands,105035
spain,1362
colombia,111109
greece,1338
c%C3%B4te-divoire,111112
england,1318
italy,1343
uruguay,1377
ecuador,111465
france,1335
switzerland,1364
argentina,1369
germany,1337
portugal,1354
united-states,1387
belgium,1325
russia,1357
korea-republic,974
poland,1353
czech-republic,1330
denmark,1331
republic-of-ireland,1355
ireland,1355
sweden,1363
wales,1367
northern-ireland,110081
turkey,1365
iceland,1341
austria,1322
hungary,1886
romania,1356
egypt,111130
south-korea,974
saudi-arabia,111114
peru,111108
croatia,1328
nigeria,1393
costa-rica,1383
serbia,110082
tunisia,1391
south-africa,111099
slovenia,1361
new-zealand,111473
paraguay,1375
ivory-coast,111112
iran,111115
morocco,111111
panama,111475
japan,1411
senegal,1667
