Country,player_cap,Coach,player_pos,player_name
Egypt,158,Hector Cuper,GK,Essam El-Hadary
Egypt,21,Hector Cuper,DF,Ali Gabr
Egypt,78,Hector Cuper,DF,Ahmed Elmohamady
Egypt,24,Hector Cuper,MF,Omar Gaber
Egypt,5,Hector Cuper,MF,Sam Morsy
Egypt,45,Hector Cuper,DF,Ahmed Hegazi
Egypt,126,Hector Cuper,DF,Ahmed Fathy
Egypt,21,Hector Cuper,MF,Tarek Hamed
Egypt,24,Hector Cuper,FW,Marwan Mohsen
Egypt,57,Hector Cuper,FW,Mohamed Salah
Egypt,19,Hector Cuper,FW,Kahraba
Egypt,4,Hector Cuper,DF,Ayman Ashraf
Egypt,51,Hector Cuper,DF,Mohamed Abdel-Shafy
Egypt,23,Hector Cuper,FW,Ramadan Sobhi
Egypt,0,Hector Cuper,DF,Mahmoud Hamdy
Egypt,22,Hector Cuper,GK,Sherif Ekramy
Egypt,61,Hector Cuper,MF,Mohamed Elneny
Egypt,29,Hector Cuper,FW,Shikabala
Egypt,36,Hector Cuper,MF,Abdallah Said
Egypt,11,Hector Cuper,DF,Saad Samir
Egypt,24,Hector Cuper,MF,Trezeguet
Egypt,16,Hector Cuper,FW,Amr Warda
Egypt,3,Hector Cuper,GK,Mohamed El-Shenawy
Russia,106,Stanislav Cherchesov,GK,Igor Akinfeev
Russia,5,Stanislav Cherchesov,DF,Mario Fernandes
Russia,7,Stanislav Cherchesov,DF,Ilya Kutepov
Russia,122,Stanislav Cherchesov,DF,Sergei Ignashevich
Russia,6,Stanislav Cherchesov,DF,Andrei Semyonov
Russia,11,Stanislav Cherchesov,MF,Denis Cheryshev
Russia,6,Stanislav Cherchesov,MF,Daler Kuzyayev
Russia,6,Stanislav Cherchesov,MF,Yury Gazinsky
Russia,57,Stanislav Cherchesov,MF,Alan Dzagoev
Russia,32,Stanislav Cherchesov,FW,Fyodor Smolov
Russia,12,Stanislav Cherchesov,MF,Roman Zobnin
Russia,3,Stanislav Cherchesov,GK,Andrey Lunyov
Russia,19,Stanislav Cherchesov,DF,Fyodor Kudryashov
Russia,12,Stanislav Cherchesov,DF,Vladimir Granat
Russia,18,Stanislav Cherchesov,MF,Aleksei Miranchuk
Russia,6,Stanislav Cherchesov,MF,Anton Miranchuk
Russia,19,Stanislav Cherchesov,MF,Aleksandr Golovin
Russia,84,Stanislav Cherchesov,MF,Yuri Zhirkov
Russia,48,Stanislav Cherchesov,MF,Aleksandr Samedov
Russia,10,Stanislav Cherchesov,GK,Vladimir Gabulov
Russia,17,Stanislav Cherchesov,MF,Aleksandr Yerokhin
Russia,23,Stanislav Cherchesov,FW,Artem Dzyuba
Russia,27,Stanislav Cherchesov,DF,Igor Smolnikov
Saudi Arabia,11,Juan Antonio Pizzi,GK,Abdullah Al-Mayouf
Saudi Arabia,40,Juan Antonio Pizzi,DF,Mansoor Al-Harbi
Saudi Arabia,135,Juan Antonio Pizzi,DF,Osama Hawsawi
Saudi Arabia,4,Juan Antonio Pizzi,DF,Ali Al-Bulaihi
Saudi Arabia,42,Juan Antonio Pizzi,DF,Omar Hawsawi
Saudi Arabia,11,Juan Antonio Pizzi,DF,Mohammed Al-Breik
Saudi Arabia,43,Juan Antonio Pizzi,MF,Salman Al-Faraj
Saudi Arabia,57,Juan Antonio Pizzi,MF,Yahya Al-Shehri
Saudi Arabia,5,Juan Antonio Pizzi,MF,Hattan Bahebri
Saudi Arabia,40,Juan Antonio Pizzi,FW,Mohammad Al-Sahlawi
Saudi Arabia,36,Juan Antonio Pizzi,MF,Abdulmalek Al-Khaibri
Saudi Arabia,6,Juan Antonio Pizzi,MF,Mohamed Kanno
Saudi Arabia,37,Juan Antonio Pizzi,DF,Yasser Al-Shahrani
Saudi Arabia,16,Juan Antonio Pizzi,MF,Abdullah Otayf
Saudi Arabia,5,Juan Antonio Pizzi,MF,Abdullah Al-Khaibari
Saudi Arabia,18,Juan Antonio Pizzi,MF,Housain Al-Mogahwi
Saudi Arabia,132,Juan Antonio Pizzi,MF,Taisir Al-Jassim
Saudi Arabia,33,Juan Antonio Pizzi,MF,Salem Al-Dawsari
Saudi Arabia,45,Juan Antonio Pizzi,FW,Fahad Al-Muwallad
Saudi Arabia,18,Juan Antonio Pizzi,FW,Muhannad Assiri
Saudi Arabia,32,Juan Antonio Pizzi,GK,Yasser Al-Mosailem
Saudi Arabia,6,Juan Antonio Pizzi,GK,Mohammed Al-Owais
Saudi Arabia,17,Juan Antonio Pizzi,DF,Motaz Hawsawi
Uruguay,97,Oscar Tabarez,GK,Fernando Muslera
Uruguay,42,Oscar Tabarez,DF,Jose Gimenez
Uruguay,116,Oscar Tabarez,DF,Diego Godin
Uruguay,3,Oscar Tabarez,DF,Guillermo Varela
Uruguay,36,Oscar Tabarez,MF,Carlos Sanchez
Uruguay,7,Oscar Tabarez,MF,Rodrigo Bentancur
Uruguay,105,Oscar Tabarez,MF,Cristian Rodriguez
Uruguay,12,Oscar Tabarez,MF,Nahitan Nandez
Uruguay,98,Oscar Tabarez,FW,Luis Suarez
Uruguay,14,Oscar Tabarez,FW,Giorgian De Arrascaeta
Uruguay,41,Oscar Tabarez,FW,Cristhian Stuani
Uruguay,1,Oscar Tabarez,GK,Martin Campana
Uruguay,17,Oscar Tabarez,DF,Gaston Silva
Uruguay,3,Oscar Tabarez,MF,Lucas Torreira
Uruguay,22,Oscar Tabarez,MF,Matias Vecino
Uruguay,125,Oscar Tabarez,DF,Maxi Pereira
Uruguay,6,Oscar Tabarez,MF,Diego Laxalt
Uruguay,5,Oscar Tabarez,FW,Maxi Gomez
Uruguay,30,Oscar Tabarez,DF,Sebastian Coates
Uruguay,4,Oscar Tabarez,FW,Jonathan Urretaviscaya
Uruguay,101,Oscar Tabarez,FW,Edinson Cavani
Uruguay,76,Oscar Tabarez,DF,Martin Caceres
Uruguay,11,Oscar Tabarez,GK,Martin Silva
Iran,22,Carlos Queiroz,GK,Alireza Beiranvand
Iran,17,Carlos Queiroz,MF,Mehdi Torabi
Iran,94,Carlos Queiroz,DF,Ehsan Hajsafi
Iran,10,Carlos Queiroz,DF,Rouzbeh Cheshmi
Iran,19,Carlos Queiroz,DF,Milad Mohammadi
Iran,25,Carlos Queiroz,MF,Saeid Ezatolahi
Iran,74,Carlos Queiroz,MF,Masoud Shojaei
Iran,27,Carlos Queiroz,DF,Morteza Pouraliganji
Iran,30,Carlos Queiroz,MF,Omid Ebrahimi
Iran,64,Carlos Queiroz,FW,Karim Ansarifard
Iran,36,Carlos Queiroz,MF,Vahid Amiri
Iran,3,Carlos Queiroz,GK,Mohammad Rashid Mazaheri
Iran,11,Carlos Queiroz,DF,Mohammad Reza Khanzadeh
Iran,8,Carlos Queiroz,FW,Saman Ghoddos
Iran,46,Carlos Queiroz,DF,Pejman Montazeri
Iran,43,Carlos Queiroz,FW,Reza Ghoochannejhad
Iran,26,Carlos Queiroz,FW,Mehdi Taremi
Iran,38,Carlos Queiroz,FW,Alireza Jahanbakhsh
Iran,1,Carlos Queiroz,DF,Majid Hosseini
Iran,33,Carlos Queiroz,FW,Sardar Azmoun
Iran,46,Carlos Queiroz,FW,Ashkan Dejagah
Iran,1,Carlos Queiroz,GK,Amir Abedzadeh
Iran,28,Carlos Queiroz,DF,Ramin Rezaeian
Morocco,11,Herve Renard,GK,Yassine Bounou
Morocco,10,Herve Renard,DF,Achraf Hakimi
Morocco,13,Herve Renard,DF,Hamza Mendyl
Morocco,28,Herve Renard,DF,Manuel da Costa
Morocco,57,Herve Renard,DF,Medhi Benatia
Morocco,24,Herve Renard,DF,Romain Saiss
Morocco,18,Herve Renard,MF,Hakim Ziyech
Morocco,51,Herve Renard,MF,Karim El Ahmadi
Morocco,10,Herve Renard,FW,Ayoub El Kaabi
Morocco,47,Herve Renard,MF,Younes Belhanda
Morocco,23,Herve Renard,MF,Faycal Fajr
Morocco,27,Herve Renard,GK,Munir Mohamedi
Morocco,18,Herve Renard,FW,Khalid Boutaib
Morocco,59,Herve Renard,MF,Mbark Boussoufa
Morocco,14,Herve Renard,MF,Youssef Ait Bennasser
Morocco,44,Herve Renard,MF,Nordin Amrabat
Morocco,34,Herve Renard,DF,Nabil Dirar
Morocco,6,Herve Renard,MF,Amine Harit
Morocco,16,Herve Renard,FW,Youssef En-Nesyri
Morocco,15,Herve Renard,FW,Aziz Bouhaddouz
Morocco,6,Herve Renard,MF,Sofyan Amrabat
Morocco,2,Herve Renard,GK,Ahmed Reda Tagnaouti
Morocco,20,Herve Renard,MF,Mehdi Carcela
Portugal,69,Fernando Santos,GK,Rui Patricio
Portugal,96,Fernando Santos,DF,Bruno Alves
Portugal,95,Fernando Santos,DF,Pepe
Portugal,14,Fernando Santos,MF,Manuel Fernandes
Portugal,24,Fernando Santos,DF,Raphael Guerreiro
Portugal,31,Fernando Santos,DF,Jose Fonte
Portugal,150,Fernando Santos,FW,Cristiano Ronaldo
Portugal,110,Fernando Santos,MF,Joao Moutinho
Portugal,23,Fernando Santos,FW,Andre Silva
Portugal,36,Fernando Santos,MF,Joao Mario
Portugal,25,Fernando Santos,MF,Bernardo Silva
Portugal,7,Fernando Santos,GK,Anthony Lopes
Portugal,1,Fernando Santos,DF,Ruben Dias
Portugal,43,Fernando Santos,MF,William Carvalho
Portugal,4,Fernando Santos,DF,Ricardo Pereira
Portugal,6,Fernando Santos,MF,Bruno Fernandes
Portugal,10,Fernando Santos,FW,Goncalo Guedes
Portugal,18,Fernando Santos,FW,Gelson Martins
Portugal,4,Fernando Santos,DF,Mario Rui
Portugal,77,Fernando Santos,FW,Ricardo Quaresma
Portugal,29,Fernando Santos,DF,Cedric
Portugal,14,Fernando Santos,GK,Beto
Portugal,23,Fernando Santos,MF,Adrien Silva
Spain,29,Fernando Hierro,GK,David de Gea
Spain,15,Fernando Hierro,DF,Dani Carvajal
Spain,98,Fernando Hierro,DF,Gerard Pique
Spain,17,Fernando Hierro,DF,Nacho
Spain,103,Fernando Hierro,MF,Sergio Busquets
Spain,127,Fernando Hierro,MF,Andres Iniesta
Spain,10,Fernando Hierro,MF,Saul
Spain,40,Fernando Hierro,MF,Koke
Spain,6,Fernando Hierro,FW,Rodrigo
Spain,29,Fernando Hierro,MF,Thiago
